0 0 0 OBBP..O..P.........CQQQ..C......RRR.  
1 1 0 .BBP..O..P..O......CQQQ..C......RRR. O99  
1 1 0 .BBP.....P........OCQQQ.OC......RRR. O97  
1 1 0 OBBP..OC.P...C......QQQ.........RRR. C98  
1 1 0 OBBP..O..P.........CQQQ..C....RRR... R98  
1 1 0 OBBP..O..P...C.....CQQQ.........RRR. C99  
1 1 0 .BBP.....P..O.....OCQQQ..C......RRR. O98  
1 1 0 OBB...O..P.....P...CQQQ..C......RRR. P99  
1 1 0 OBBP..O..P.........CQQQ..C.....RRR.. R99  
1 1 0 OBBP..O..P.........CQQQ..C.......RRR R99  
1 1 0 .BBP.....P.........CQQQ.OC....O.RRR. O96  
1 1 0 OBBP..O..P.........C.QQQ.C......RRR. Q99  
1 1 0 OBBP..O..P..........QQQ..C.....CRRR. C99  
2 2 0 .BBP..OC.P..OC......QQQ.........RRR. C98 O99  
2 2 0 .BBP..O..P..O......CQQQ..C....RRR... R98 O99  
2 2 0 OBBP..OC.P...C.......QQQ........RRR. Q99 C98  
2 2 0 OBBP..OC.P...C......QQQ.......RRR... R98 C98  
2 2 0 OBBP..O..P...........QQQ.C.....CRRR. C99 Q99  
2 2 0 OBBP..O..P........QQQ....C.....CRRR. Q98 C99  
2 2 0 OBB...OC.P...C.P....QQQ.........RRR. P99 C98  
2 2 0 OBBP..O..P.........QQQ...C.....CRRR. Q99 C99  
2 2 0 .BBP.....P..........QQQ.OC....OCRRR. C99 O96  
2 2 0 .BBP..O..P..OC.....CQQQ.........RRR. C99 O99  
2 2 0 .BBP...C.P...C......QQQ.O.....O.RRR. O96 C98  
2 2 0 BB.P.....P.........CQQQ.OC....O.RRR. B99 O96  
2 2 0 OBBP..O..P..........QQQ..C.....C.RRR C99 R99  
2 2 0 .BBP...C.P..OC....O.QQQ.........RRR. O98 C98  
2 2 0 .BBP.....P.........CQQQ.OC....O..RRR O96 R99  
2 2 0 .BBP.....P.........CQQQ.OC....ORRR.. O96 R99  
2 2 0 .BB...O..P..O..P...CQQQ..C......RRR. P99 O99  
2 2 0 .BBP.....P........OCQQQ.OC.....RRR.. R99 O97  
2 2 0 .BBP.....P........OCQQQ.OC....RRR... R98 O97  
2 2 0 OBB...O..P.....P...CQQQ..C.......RRR R99 P99  
2 2 0 OBB...O..P.....P...C.QQQ.C......RRR. Q99 P99  
2 2 0 .BBP.....P........OCQQQ.OC.......RRR R99 O97  
2 2 0 OBB...O..P.....P....QQQ..C.....CRRR. C99 P99  
2 2 0 O...BBO..P.....P...CQQQ..C......RRR. B97 P99  
2 2 0 BB.P..O..P..O......CQQQ..C......RRR. B99 O99  
2 2 0 .BBP.....P........OC.QQQOC......RRR. Q99 O97  
2 2 0 O..BB.O..P.....P...CQQQ..C......RRR. B98 P99  
2 2 0 O.BB..O..P.....P...CQQQ..C......RRR. B99 P99  
2 2 0 .BBP.....P........O.QQQ.OC.....CRRR. C99 O97  
2 2 0 .BB......P.....P...CQQQ.OC....O.RRR. O96 P99  
2 2 0 .BBP.....P..O.....OCQQQ..C.......RRR R99 O98  
2 2 0 .BBP...C.P...C....O.QQQ.O.......RRR. C98 O97  
2 2 0 OBBP..O..P.........C.QQQ.C....RRR... Q99 R98  
2 2 0 .BBP.....P..O.....OC.QQQ.C......RRR. Q99 O98  
2 2 0 .BBP.....P..O.....OCQQQ..C.....RRR.. R99 O98  
2 2 0 .BBP.....P.........C.QQQOC....O.RRR. Q99 O96  
2 2 0 .BBP.....P..O.....O.QQQ..C.....CRRR. C99 O98  
2 2 0 .BBP.....P...C....OCQQQ.O.......RRR. C99 O97  
2 2 0 .BB......P..O..P..OCQQQ..C......RRR. P99 O98  
2 2 0 BB.P.....P..O.....OCQQQ..C......RRR. B99 O98  
2 2 0 .BB......P.....P..OCQQQ.OC......RRR. P99 O97  
2 2 0 OBBP..O..P...C.....CQQQ..........RRR R99 C99  
2 2 0 OBBP..O..P...C.....CQQQ........RRR.. R99 C99  
2 2 0 OBBP..O..P...C.....C.QQQ........RRR. Q99 C99  
2 2 0 BB.P.....P........OCQQQ.OC......RRR. B99 O97  
2 2 0 OBB...O..P...C.P...CQQQ.........RRR. P99 C99  
2 2 0 .BBP.....P...C.....CQQQ.O.....O.RRR. O96 C99  
2 2 0 .BBP..O..P..O......CQQQ..C.....RRR.. R99 O99  
2 2 0 .BBP.....P..OC....OCQQQ.........RRR. O98 C99  
2 2 0 OBB...O..P.....P...CQQQ..C.....RRR.. R99 P99  
2 2 0 OBBP..O..P.........C.QQQ.C.......RRR Q99 R99  
2 2 0 OBBP..O..P...C.....CQQQ.......RRR... C99 R98  
2 2 0 .BBP..O..P..O......CQQQ..C.......RRR R99 O99  
2 2 0 OBB...O..P.....P...CQQQ..C....RRR... P99 R98  
2 2 0 .BBP.....P..O.....OCQQQ..C....RRR... O98 R98  
2 2 0 .BBP..O..P..O......C.QQQ.C......RRR. Q99 O99  
2 2 0 OBBP..OC.P...C......QQQ........RRR.. R99 C98  
2 2 0 OBBP..O..P.........C.QQQ.C.....RRR.. Q99 R99  
2 2 0 OBBP..OC.P...C......QQQ..........RRR R99 C98  
2 2 0 .BBP..O..P..O.......QQQ..C.....CRRR. C99 O99  
2 2 0 OBBP..OC.P...C....QQQ...........RRR. Q98 C98  
2 2 0 OBBP..OC.P...C.....QQQ..........RRR. Q99 C98  
3 3 0 .BB...OC.P..OC.P....QQQ.........RRR. P99 C98 O99  
3 3 0 .BBP..OC.P..OC......QQQ.......RRR... R98 C98 O99  
3 3 0 OBBP..O..P...........QQQ.C.....C.RRR R99 C99 Q99  
3 3 0 OBB...O..P.....P....QQQ..C.....C.RRR P99 C99 R99  
3 3 0 .BBP.....P...C.....CQQQ.O.....O..RRR C99 O96 R99  
3 3 0 BB.P.....P........O.QQQ.OC.....CRRR. B99 C99 O97  
3 3 0 OBB...OC.....C....QQQP.....P....RRR. P97 Q98 C98  
3 3 0 OBB...OC.....C.P..QQQP..........RRR. P98 Q98 C98  
3 3 0 .BB......P.....P...CQQQ.OC....O..RRR P99 O96 R99  
3 3 0 BB.P..OC.P..OC......QQQ.........RRR. B99 C98 O99  
3 3 0 .BBP...C.P..OC....O.QQQ..........RRR R99 O98 C98  
3 3 0 .BBP...C.P..OC....OQQQ..........RRR. Q99 O98 C98  
3 3 0 .BBP..O..P..O......C.QQQ.C....RRR... Q99 R98 O99  
3 3 0 OBBP..OC.P...C....QQQ.........RRR... Q98 R98 C98  
3 3 0 BB.P...C.P..OC....O.QQQ.........RRR. B99 O98 C98  
3 3 0 .BBP.....P........O.QQQ.OC.....C.RRR O97 C99 R99  
3 3 0 OBBP..OC.P...C.......QQQ......RRR... R98 Q99 C98  
3 3 0 .BBP.....P..O.....O.QQQ..C.....C.RRR O98 C99 R99  
3 3 0 .BBP..O..P..O.......QQQ..C.....C.RRR O99 C99 R99  
3 3 0 OBBP..O..P........QQQ....C.....C.RRR R99 Q98 C99  
3 3 0 OBBP..O..P.........QQQ...C.....C.RRR R99 Q99 C99  
3 3 0 BB.P.....P.........CQQQ.OC....O..RRR R99 B99 O96  
3 3 0 BB.P.....P.........CQQQ.OC....ORRR.. R99 B99 O96  
3 3 0 BB.P.....P.........C.QQQOC....O.RRR. Q99 B99 O96  
3 3 0 OBB...OC.P...C.P....QQQ........RRR.. R99 P99 C98  
3 3 0 BB.P.....P...C.....CQQQ.O.....O.RRR. C99 B99 O96  
3 3 0 BB.......P.....P...CQQQ.OC....O.RRR. P99 B99 O96  
3 3 0 .BBP.....P..........QQQ.OC....OC.RRR R99 C99 O96  
3 3 0 .BBP...C.P...C......QQQ.O.....O..RRR R99 O96 C98  
3 3 0 .BBP...C.P...C......QQQ.O.....ORRR.. R99 O96 C98  
3 3 0 .BBP...C.P...C....QQQ...O.....O.RRR. Q98 O96 C98  
3 3 0 .BBP..O..P..OC.....CQQQ........RRR.. R99 C99 O99  
3 3 0 .BBP...C.P...C.....QQQ..O.....O.RRR. Q99 O96 C98  
3 3 0 BB.P...C.P...C......QQQ.O.....O.RRR. B99 O96 C98  
3 3 0 .BBP..O..P..OC.....CQQQ..........RRR R99 C99 O99  
3 3 0 .BBP...C.P..OC....O.QQQ........RRR.. R99 O98 C98  
3 3 0 .BBP.....P.........C.QQQOC....ORRR.. Q99 O96 R99  
3 3 0 OBB...O..P.....P...C.QQQ.C.......RRR Q99 R99 P99  
3 3 0 O.BB..O..P.....P...CQQQ..C....RRR... R98 B99 P99  
3 3 0 .BBP..O..P..OC.....C.QQQ........RRR. Q99 C99 O99  
3 3 0 .BB...O..P..OC.P...CQQQ.........RRR. P99 C99 O99  
3 3 0 .BBP.....P.........C.QQQOC....O..RRR Q99 O96 R99  
3 3 0 BB.P..O..P..OC.....CQQQ.........RRR. B99 C99 O99  
3 3 0 .BBP.....P........QQQ...OC....OCRRR. Q98 C99 O96  
3 3 0 .BB...O..P..O..P...CQQQ..C.....RRR.. R99 P99 O99  
3 3 0 .BBP.....P........OC.QQQOC....RRR... Q99 R98 O97  
3 3 0 .BB......P.....P....QQQ.OC....OCRRR. P99 C99 O96  
3 3 0 BB.P.....P..........QQQ.OC....OCRRR. B99 C99 O96  
3 3 0 .BBP.....P........OC.QQQOC.....RRR.. Q99 R99 O97  
3 3 0 OBB...O..P.....P...QQQ...C.....CRRR. P99 Q99 C99  
3 3 0 .BBP.....P.........QQQ..OC....OCRRR. O96 Q99 C99  
3 3 0 OBB...O..P.....P...C.QQQ.C....RRR... R98 Q99 P99  
3 3 0 O...BBO..P.....P....QQQ..C.....CRRR. B97 C99 P99  
3 3 0 O..BB.O..P.....P...CQQQ..C....RRR... R98 B98 P99  
3 3 0 .BBP.....P........OQQQ..OC.....CRRR. O97 Q99 C99  
3 3 0 .BBP.....P..O.....OQQQ...C.....CRRR. O98 Q99 C99  
3 3 0 .BBP.....P........OC.QQQOC.......RRR Q99 R99 O97  
3 3 0 .BBP..O..P..O......QQQ...C.....CRRR. O99 Q99 C99  
3 3 0 OBB...OC.P...C.P....QQQ..........RRR R99 P99 C98  
3 3 0 O..PBBO..P.........CQQQ..C......RRR. P98 B97 P99  
3 3 0 .BBP.....P...C....OC.QQQO.......RRR. C99 Q99 O97  
3 3 0 OBB...OC.P...C.P..QQQ...........RRR. Q98 P99 C98  
3 3 0 OBB...OC.P...C.P...QQQ..........RRR. Q99 P99 C98  
3 3 0 BB.P..O..P..O......CQQQ..C.....RRR.. R99 B99 O99  
3 3 0 O...BBOC.P...C.P....QQQ.........RRR. B97 P99 C98  
3 3 0 O..BB.OC.P...C.P....QQQ.........RRR. B98 P99 C98  
3 3 0 .BB......P...C.P...CQQQ.O.....O.RRR. C99 O96 P99  
3 3 0 BB.P...C.P...C....O.QQQ.O.......RRR. B99 C98 O97  
3 3 0 .BBP.....P..O.....OC.QQQ.C....RRR... O98 Q99 R98  
3 3 0 .BBP.....P...C.....C.QQQO.....O.RRR. C99 Q99 O96  
3 3 0 OBB...O..P...C.P...CQQQ........RRR.. P99 R99 C99  
3 3 0 OBBP..OC.P...C.....QQQ...........RRR Q99 R99 C98  
3 3 0 .BBP...C.P...C....OQQQ..O.......RRR. Q99 C98 O97  
3 3 0 O.BB..OC.P...C.P....QQQ.........RRR. B99 P99 C98  
3 3 0 .BBP.....P..OC....OCQQQ..........RRR C99 R99 O98  
3 3 0 BB.P.....P..O.....OCQQQ..C.......RRR B99 R99 O98  
3 3 0 .BB....C.P...C.P....QQQ.O.....O.RRR. O96 P99 C98  
3 3 0 O.BB..O..P.....P...CQQQ..C.....RRR.. R99 B99 P99  
3 3 0 .BBP.....P..O.....OC.QQQ.C.......RRR Q99 R99 O98  
3 3 0 OCBB..OC.P.....P....QQQ.........RRR. C97 B99 P99  
3 3 0 .BB....C.P...C.P..O.QQQ.O.......RRR. O97 P99 C98  
3 3 0 O.BB..O..P...C.P...CQQQ.........RRR. C99 B99 P99  
3 3 0 ..BB.....P.....P...CQQQ.OC....O.RRR. O96 B99 P99  
3 3 0 .BB....C.P..OC.P..O.QQQ.........RRR. O98 P99 C98  
3 3 0 ..BB.....P.....P..OCQQQ.OC......RRR. O97 B99 P99  
3 3 0 OBBP..O..P...C.....C.QQQ......RRR... C99 Q99 R98  
3 3 0 .BBP.....P..OC....OCQQQ........RRR.. C99 R99 O98  
3 3 0 ..BB.....P..O..P..OCQQQ..C......RRR. O98 B99 P99  
3 3 0 OBB...O...........QQQP...C.P...CRRR. P97 Q98 C99  
3 3 0 O..BB.O..P.....P...CQQQ..C.....RRR.. R99 B98 P99  
3 3 0 OC.BB.OC.P.....P....QQQ.........RRR. C97 B98 P99  
3 3 0 OBB...O........P..QQQP...C.....CRRR. P98 Q98 C99  
3 3 0 O..BB.O..P...C.P...CQQQ.........RRR. C99 B98 P99  
3 3 0 .BBP.....P..O.....OC.QQQ.C.....RRR.. R99 Q99 O98  
3 3 0 ...BB....P.....P...CQQQ.OC....O.RRR. O96 B98 P99  
3 3 0 OBB...O..P.....P..QQQ....C.....CRRR. P99 Q98 C99  
3 3 0 ...BB....P.....P..OCQQQ.OC......RRR. O97 B98 P99  
3 3 0 ...BB....P..O..P..OCQQQ..C......RRR. O98 B98 P99  
3 3 0 .BBP..O..P..O.....QQQ....C.....CRRR. O99 Q98 C99  
3 3 0 BB.P.....P........OC.QQQOC......RRR. B99 Q99 O97  
3 3 0 BB.P.....P..O.....O.QQQ..C.....CRRR. B99 C99 O98  
3 3 0 .BB......P..O..P..OCQQQ..C....RRR... R98 P99 O98  
3 3 0 OBBP..O..P...C.....C.QQQ.......RRR.. Q99 R99 C99  
3 3 0 BB.P..O..P..O......CQQQ..C.......RRR R99 B99 O99  
3 3 0 OBB...O..P.....P.....QQQ.C.....CRRR. P99 C99 Q99  
3 3 0 BB.P..O..P..O......C.QQQ.C......RRR. Q99 B99 O99  
3 3 0 BB.P..O..P..O.......QQQ..C.....CRRR. C99 B99 O99  
3 3 0 .BBP.....P...........QQQOC....OCRRR. O96 C99 Q99  
3 3 0 O...BBO..P.....P...CQQQ..C....RRR... R98 B97 P99  
3 3 0 .BB......P...C.P..OCQQQ.O.......RRR. P99 C99 O97  
3 3 0 O...BBO..P.....P...CQQQ..C.....RRR.. R99 B97 P99  
3 3 0 .BBP.....P........O..QQQOC.....CRRR. O97 C99 Q99  
3 3 0 OC..BBOC.P.....P....QQQ.........RRR. C97 B97 P99  
3 3 0 O...BBO..P...C.P...CQQQ.........RRR. C99 B97 P99  
3 3 0 .BBP.....P..O.....O..QQQ.C.....CRRR. O98 C99 Q99  
3 3 0 ....BB...P.....P...CQQQ.OC....O.RRR. O96 B97 P99  
3 3 0 BB.P.....P..O.....OCQQQ..C....RRR... R98 B99 O98  
3 3 0 OBBP..O..P...C.....C.QQQ.........RRR Q99 R99 C99  
3 3 0 ....BB...P.....P..OCQQQ.OC......RRR. O97 B97 P99  
3 3 0 .BBP..O..P..O........QQQ.C.....CRRR. O99 C99 Q99  
3 3 0 ....BB...P..O..P..OCQQQ..C......RRR. O98 B97 P99  
3 3 0 O..BB.O..P.....P....QQQ..C.....CRRR. B98 C99 P99  
3 3 0 OBBP..OC.P...C.....QQQ........RRR... Q99 R98 C98  
3 3 0 O.BB..O..P.....P....QQQ..C.....CRRR. B99 C99 P99  
3 3 0 BB.......P.....P..OCQQQ.OC......RRR. B99 P99 O97  
3 3 0 .BB......P.....P..O.QQQ.OC.....CRRR. O97 C99 P99  
3 3 0 OBB...OC.P...C.P....QQQ.......RRR... P99 R98 C98  
3 3 0 .BB......P..O..P..O.QQQ..C.....CRRR. O98 C99 P99  
3 3 0 .BBP...C.P...C....O.QQQ.O........RRR C98 R99 O97  
3 3 0 .BBP...C.P...C....O.QQQ.O.....RRR... O97 R98 C98  
3 3 0 .BBP.....P...C....OCQQQ.O........RRR C99 R99 O97  
3 3 0 BB.P.....P..OC....OCQQQ.........RRR. C99 B99 O98  
3 3 0 .BB......P..OC.P..OCQQQ.........RRR. C99 P99 O98  
3 3 0 .BBP..O..P..O......C.QQQ.C.......RRR O99 Q99 R99  
3 3 0 OBBP..OC.P...C....QQQ............RRR Q98 R99 C98  
3 3 0 BB.P.....P........OCQQQ.OC.......RRR B99 R99 O97  
3 3 0 .BBP...C.P..OC....O.QQQ.......RRR... O98 R98 C98  
3 3 0 OBB...O..P.....P...C.QQQ.C.....RRR.. R99 Q99 P99  
3 3 0 OBB...O..P...C.P...C.QQQ........RRR. C99 Q99 P99  
3 3 0 OBBP..OC.P...C.......QQQ.......RRR.. R99 Q99 C98  
3 3 0 O...BBO..P.....P...C.QQQ.C......RRR. B97 Q99 P99  
3 3 0 OBB...O..P...C.P...CQQQ.......RRR... R98 P99 C99  
3 3 0 O..BB.O..P.....P...C.QQQ.C......RRR. B98 Q99 P99  
3 3 0 OBBP..OC.P...C.......QQQ.........RRR R99 Q99 C98  
3 3 0 O.BB..O..P.....P...C.QQQ.C......RRR. B99 Q99 P99  
3 3 0 .BB......P.....P...C.QQQOC....O.RRR. O96 Q99 P99  
3 3 0 OBB...OC.P...C.P.....QQQ........RRR. P99 Q99 C98  
3 3 0 .BB......P.....P..OC.QQQOC......RRR. O97 Q99 P99  
3 3 0 .BBP..O..P..O......C.QQQ.C.....RRR.. Q99 R99 O99  
3 3 0 BB.......P..O..P..OCQQQ..C......RRR. B99 P99 O98  
3 3 0 .BB......P..O..P..OC.QQQ.C......RRR. O98 Q99 P99  
3 3 0 .BBP...C.P...C.......QQQO.....O.RRR. O96 Q99 C98  
3 3 0 OBB...O..P...C.P...CQQQ..........RRR C99 R99 P99  
3 3 0 O...BBO..P.....P...CQQQ..C.......RRR B97 R99 P99  
3 3 0 .BBP...C.P...C....O..QQQO.......RRR. O97 Q99 C98  
3 3 0 O..BB.O..P.....P...CQQQ..C.......RRR B98 R99 P99  
3 3 0 .BBP.....P..OC....OCQQQ.......RRR... R98 O98 C99  
3 3 0 O.BB..O..P.....P...CQQQ..C.......RRR B99 R99 P99  
3 3 0 .BBP...C.P..OC....O..QQQ........RRR. O98 Q99 C98  
