0 0 0 BB...OP..Q.OPAAQ.OP..Q..C...DDC.RRR.  
2 1 1 .BB..OP..Q.OPAAQ.OP..Q..C...DDC.RRR. B99  
2 1 1 ...BBOP..Q.OPAAQ.OP..Q..C...DDC.RRR. B97  
2 1 1 BB...OP..Q.OPAAQ.OP..Q..C..DD.C.RRR. D99  
2 1 1 BB...OP..Q.OPAAQ.OP..Q..C...DDCRRR.. R99  
2 1 1 BB...OP....OPAAQ.OP..Q..C..QDDC.RRR. Q99  
2 1 1 ..BB.OP..Q.OPAAQ.OP..Q..C...DDC.RRR. B98  
2 1 1 BB.Q.OP..Q.OPAAQ.OP.....C...DDC.RRR. Q99  
2 1 1 BB...OP..Q.OPAAQ.OP..Q..C...DDC..RRR R99  
2 1 1 BB....P..Q.OPAAQ.OP..Q.OC...DDC.RRR. O99  
2 1 1 BB...OP..Q.OPAAQ.OP..Q..CDD...C.RRR. D97  
2 1 1 BB...OP..Q.OPAAQ.OP..Q..C.DD..C.RRR. D98  
3 2 1 .BB..OP..Q.OPAAQ.OP..Q..C..DD.C.RRR. D99 B99  
3 2 1 .BB..OP..Q.OPAAQ.OP..Q..C...DDCRRR.. R99 B99  
3 2 1 BB...OP..Q.OPAAQ.OP..Q..C..DD.C..RRR R99 D99  
3 2 1 BB...OP..Q.OPAAQ.OP..Q..C..DD.CRRR.. R99 D99  
3 2 1 BB...OP....OPAAQ.OP..Q..CDDQ..C.RRR. Q99 D97  
3 2 1 BB....P..Q..PAAQ..P..Q.OC.DD.OC.RRRO O97 D98  
3 2 1 BB.Q.OP..Q.OPAAQ.OP.....C..DD.C.RRR. Q99 D99  
3 2 1 .BB..OP....OPAAQ.OP..Q..C..QDDC.RRR. Q99 B99  
3 2 1 BB....P..Q..PAAQ..P..Q.OC..DDOC.RRRO O97 D99  
3 2 1 BB....P..Q..PAAQ.OP..Q.OC..DDOC.RRR. O98 D99  
3 2 1 .BBQ.OP..Q.OPAAQ.OP.....C...DDC.RRR. Q99 B99  
3 2 1 ...BBOP..Q.OPAAQ.OP..Q..C...DDCRRR.. R99 B97  
3 2 1 BB....P..Q.OPAAQ.OP..Q.OC..DD.C.RRR. O99 D99  
3 2 1 ..BB.OP..Q.OPAAQ.OP..Q..C..DD.C.RRR. B98 D99  
3 2 1 BB....P..Q..PAAQ.OP..Q.OC.DD.OC.RRR. O98 D98  
3 2 1 PBB..OP..Q.OPAAQ.O...Q..C...DDC.RRR. P99 B99  
3 2 1 ...BBOP..Q.OPAAQ.OP..Q..C...DDC..RRR R99 B97  
3 2 1 BB....P..Q..PAAQ..P..Q.OCDD..OC.RRRO O97 D97  
3 2 1 BB....P..Q..PAAQ.OP..Q.OCDD..OC.RRR. O98 D97  
3 2 1 ...BBOP..Q.OPAAQ.OP..Q..CDD...C.RRR. D97 B97  
3 2 1 BB....P..Q.OPAAQ.OP..Q.OC.DD..C.RRR. D98 O99  
3 2 1 ....BBP..Q.OPAAQ.OP..Q.OC...DDC.RRR. B96 O99  
3 2 1 .BB...P..Q.OPAAQ.OP..Q.OC...DDC.RRR. O99 B99  
3 2 1 ...BBOP..Q.OPAAQ.OP..Q..C.DD..C.RRR. D98 B97  
3 2 1 BB...OP....OPAAQ.OP..Q..C..QDDC..RRR R99 Q99  
3 2 1 BB...OP..Q.OPAAQ.OP..Q..C.DD..C..RRR D98 R99  
3 2 1 BB....P..Q.OPAAQ.OP..Q.OCDD...C.RRR. D97 O99  
3 2 1 BB....P..Q.OPAAQ.OP..Q.OC...DDC..RRR O99 R99  
3 2 1 ...BBOP..Q.OPAAQ.OP..Q..C..DD.C.RRR. D99 B97  
3 2 1 BB.Q.OP..Q.OPAAQ.OP.....CDD...C.RRR. D97 Q99  
3 2 1 BB.Q.OP..Q.OPAAQ.OP.....C.DD..C.RRR. D98 Q99  
3 2 1 ...BBOP....OPAAQ.OP..Q..C..QDDC.RRR. Q99 B97  
3 2 1 BB...OP..Q.OPAAQ.OP..Q..CDD...CRRR.. D97 R99  
3 2 1 BB.Q..P..Q.OPAAQ.OP....OC...DDC.RRR. O99 Q99  
3 2 1 ..BB.OP..Q.OPAAQ.OP..Q..CDD...C.RRR. D97 B98  
3 2 1 P..BBOP..Q.OPAAQ.O...Q..C...DDC.RRR. P99 B97  
3 2 1 ..BB.OP..Q.OPAAQ.OP..Q..C.DD..C.RRR. D98 B98  
3 2 1 P.BB.OP..Q.OPAAQ.O...Q..C...DDC.RRR. P99 B98  
3 2 1 ...BB.P..Q.OPAAQ.OP..Q.OC...DDC.RRR. O99 B97  
3 2 1 ..BB..P..Q.OPAAQ.OP..Q.OC...DDC.RRR. O99 B98  
3 2 1 ..BB.OP..Q.OPAAQ.OP..Q..C...DDC..RRR R99 B98  
3 2 1 BB...OP..Q.OPAAQ.OP..Q..CDD...C..RRR D97 R99  
3 2 1 BB....P....OPAAQ.OP..Q.OC..QDDC.RRR. O99 Q99  
3 2 1 .BB..OP..Q.OPAAQ.OP..Q..C...DDC..RRR R99 B99  
3 2 1 ..BB.OP....OPAAQ.OP..Q..C..QDDC.RRR. B98 Q99  
3 2 1 BB...OP..Q.OPAAQ.OP..Q..C.DD..CRRR.. D98 R99  
3 2 1 .BB..OP..Q.OPAAQ.OP..Q..CDD...C.RRR. D97 B99  
3 2 1 BB...OP....OPAAQ.OP..Q..C..QDDCRRR.. Q99 R99  
3 2 1 BB.Q.OP..Q.OPAAQ.OP.....C...DDC..RRR R99 Q99  
3 2 1 BB.Q.OP..Q.OPAAQ.OP.....C...DDCRRR.. Q99 R99  
3 2 1 .BB..OP..Q.OPAAQ.OP..Q..C.DD..C.RRR. D98 B99  
3 2 1 BB....P..Q.OPAAQ.OP..Q.OC...DDCRRR.. O99 R99  
3 2 1 ..BB.OP..Q.OPAAQ.OP..Q..C...DDCRRR.. B98 R99  
4 3 1 .BB..OP..Q.OPAAQ.OP..Q..C..DD.CRRR.. R99 D99 B99  
4 3 1 .BB..OP..Q.OPAAQ.OP..Q..C.DD..CRRR.. D98 R99 B99  
4 3 1 BB.Q.OP..Q.OPAAQ.OP.....C..DD.C..RRR Q99 R99 D99  
4 3 1 BB.Q..P..Q..PAAQ..P....OC..DDOC.RRRO O97 Q99 D99  
4 3 1 BB....P..Q..PAAQ.OP..Q.OCDD..OC..RRR R99 O98 D97  
4 3 1 P..BBOP..Q.OPAAQ.O...Q..CDD...C.RRR. P99 D97 B97  
4 3 1 BB.Q.OP..Q.OPAAQ.OP.....CDD...C..RRR R99 D97 Q99  
4 3 1 ..BB..P..Q.OPAAQ.OP..Q.OC...DDCRRR.. R99 O99 B98  
4 3 1 BB.Q..P..Q..PAAQ.OP....OCDD..OC.RRR. Q99 O98 D97  
4 3 1 .BB..OP....OPAAQ.OP..Q..C..QDDCRRR.. Q99 R99 B99  
4 3 1 ....BBP..Q..PAAQ.OP..Q.OCDD..OC.RRR. B96 O98 D97  
4 3 1 ...BB.P..Q..PAAQ.OP..Q.OCDD..OC.RRR. B97 O98 D97  
4 3 1 .BBQ.OP..Q.OPAAQ.OP.....C...DDCRRR.. Q99 R99 B99  
4 3 1 .BB..OP..Q.OPAAQ.OP..Q..CDD...CRRR.. D97 R99 B99  
4 3 1 ..BB..P..Q..PAAQ.OP..Q.OCDD..OC.RRR. B98 O98 D97  
4 3 1 .BB...P..Q..PAAQ.OP..Q.OCDD..OC.RRR. B99 O98 D97  
4 3 1 PBB..OP..Q.OPAAQ.O...Q..C...DDCRRR.. P99 R99 B99  
4 3 1 BB.Q..P..Q..PAAQ..P....OCDD..OC.RRRO Q99 O97 D97  
4 3 1 ....BBP..Q..PAAQ..P..Q.OCDD..OC.RRRO B96 O97 D97  
4 3 1 .BB...P..Q.OPAAQ.OP..Q.OC...DDCRRR.. O99 R99 B99  
4 3 1 BB.Q.OP..Q.OPAAQ.OP.....C..DD.CRRR.. Q99 R99 D99  
4 3 1 BB....P..Q..PAAQ..P..Q.OC.DD.OCRRR.O R99 O97 D98  
4 3 1 ...BB.P..Q..PAAQ..P..Q.OCDD..OC.RRRO B97 O97 D97  
4 3 1 ..BB..P..Q..PAAQ..P..Q.OCDD..OC.RRRO B98 O97 D97  
4 3 1 .BB..OP..Q.OPAAQ.OP..Q..C..DD.C..RRR R99 D99 B99  
4 3 1 .BB...P..Q..PAAQ..P..Q.OCDD..OC.RRRO B99 O97 D97  
4 3 1 ...BBOP..Q.OPAAQ.OP..Q..C.DD..C..RRR D98 R99 B97  
4 3 1 .BBQ.OP..Q.OPAAQ.OP.....C..DD.C.RRR. Q99 D99 B99  
4 3 1 BB...OP....OPAAQ.OP..Q..CDDQ..CRRR.. R99 Q99 D97  
4 3 1 ...BBOP....OPAAQ.OP..Q..C..QDDC..RRR Q99 R99 B97  
4 3 1 P..BBOP..Q.OPAAQ.O...Q..C...DDC..RRR P99 R99 B97  
4 3 1 PBB..OP..Q.OPAAQ.O...Q..C..DD.C.RRR. P99 D99 B99  
4 3 1 ...BB.P..Q.OPAAQ.OP..Q.OC...DDC..RRR O99 R99 B97  
4 3 1 PBB..OP..Q.OPAAQ.O...Q..CDD...C.RRR. D97 P99 B99  
4 3 1 .BB...P..Q..PAAQ..P..Q.OC..DDOC.RRRO O97 D99 B99  
4 3 1 .BB..OP....OPAAQ.OP..Q..C..QDDC..RRR R99 Q99 B99  
4 3 1 .BBQ.OP..Q.OPAAQ.OP.....C...DDC..RRR R99 Q99 B99  
4 3 1 PBB..OP..Q.OPAAQ.O...Q..C.DD..C.RRR. D98 P99 B99  
4 3 1 BB....P..Q..PAAQ.OP..Q.OCDD..OCRRR.. R99 O98 D97  
4 3 1 PBB..OP..Q.OPAAQ.OC..Q..C...DD..RRR. C99 P99 B99  
4 3 1 .BB...P..Q..PAAQ.OP..Q.OC..DDOC.RRR. O98 D99 B99  
4 3 1 PBB...P..Q.OPAAQ.O...Q.OC...DDC.RRR. O99 P99 B99  
4 3 1 BB....P..Q..PAAQ.OP..Q.OC.DD.OC..RRR R99 O98 D98  
4 3 1 .BB...P..Q.OPAAQ.OP..Q.OC..DD.C.RRR. O99 D99 B99  
4 3 1 ....BBP..Q..PAAQ.OP..Q.OC..DDOC.RRR. B96 O98 D99  
4 3 1 BB.Q..P..Q..PAAQ.OP....OC.DD.OC.RRR. Q99 O98 D98  
4 3 1 ....BBP..Q..PAAQ.OP..Q.OC.DD.OC.RRR. B96 O98 D98  
4 3 1 ....BBP..Q..PAAQ..P..Q.OC..DDOC.RRRO B96 O97 D99  
4 3 1 ...BB.P..Q..PAAQ.OP..Q.OC.DD.OC.RRR. B97 O98 D98  
4 3 1 ..BB..P..Q..PAAQ.OP..Q.OC.DD.OC.RRR. B98 O98 D98  
4 3 1 ...BBOP..Q.OPAAQ.OP..Q..CDD...CRRR.. D97 R99 B97  
4 3 1 ...BB.P..Q.OPAAQ.OP..Q.OC..DD.C.RRR. B97 O99 D99  
4 3 1 .BB...P..Q..PAAQ.OP..Q.OC.DD.OC.RRR. B99 O98 D98  
4 3 1 BB....P..Q..PAAQ..P..Q.OCDD..OCRRR.O R99 O97 D97  
4 3 1 P.BB.OP..Q.OPAAQ.O...Q..C..DD.C.RRR. P99 B98 D99  
4 3 1 ..BB..P..Q.OPAAQ.OP..Q.OC..DD.C.RRR. B98 O99 D99  
4 3 1 ....BBP..Q.OPAAQ.OP..Q.OC..DD.C.RRR. B96 O99 D99  
4 3 1 ...BBOP..Q.OPAAQ.OP..Q..C.DD..CRRR.. D98 R99 B97  
4 3 1 ...BBOP....OPAAQ.OP..Q..C..QDDCRRR.. Q99 R99 B97  
