0 0 0 .BO.CC.BO.DDAAO..PEQQQ.PEFFG.P...GHH  
2 1 1 .BOCC..BO.DDAAO..PEQQQ.PEFFG.P...GHH C99  
2 1 1 .BO.CC.BO.DDAAO..P.QQQ.PEFFG.PE..GHH E99  
2 1 1 .BO.CC.BO.DDAAO..PE.QQQPEFFG.P...GHH Q99  
2 1 1 .BO.CC.BODD.AAO..PEQQQ.PEFFG.P...GHH D99  
3 2 1 .BOCC..BO.DDAAO..PE.QQQPEFFG.P...GHH Q99 C99  
3 2 1 .BO.CC.BO.DDAAO..P..QQQPEFFG.PE..GHH Q99 E99  
3 2 1 .BO.CC.BODD.AAO..PE.QQQPEFFG.P...GHH D99 Q99  
3 2 1 .BO.CC.BODDPAAO..PEQQQ.PEFFG.....GHH P99 D99  
3 2 1 .BO.CC.BODD.AAO..P.QQQ.PEFFG.PE..GHH D99 E99  
3 2 1 .BOCC..BO.DDAAO..P.QQQ.PEFFG.PE..GHH E99 C99  
3 2 1 .BO.CC.BO.DDAAO..PQQQ..PEFFG.PE..GHH Q99 E99  
3 2 1 .BOCC..BODD.AAO..PEQQQ.PEFFG.P...GHH D99 C99  
4 3 1 .BOCC..BO.DDAAO..P..QQQPEFFG.PE..GHH E99 Q99 C99  
4 3 1 .BO.CC.BODDPAAO..PE.QQQPEFFG.....GHH P99 D99 Q99  
4 3 1 .BOGCC.BOGDDAAO..PQQQ..PEFF..PE...HH G96 Q99 E99  
4 3 1 .BOCCP.BODDPAAO..PEQQQ..EFFG.....GHH P98 D99 C99  
4 3 1 .BO.CC.BODD.AAO..P..QQQPEFFG.PE..GHH D99 Q99 E99  
4 3 1 .BO.CC.BOGDDAAOG.PQQQ..PEFF..PE...HH G97 Q99 E99  
4 3 1 .BO.CC.BO.DDAAOG.PQQQG.PEFF..PE...HH G98 Q99 E99  
4 3 1 .BO.CC.BODDPAAO..P.QQQ.PEFFG..E..GHH E99 P99 D99  
4 3 1 .BOCC..BODD.AAO..P.QQQ.PEFFG.PE..GHH C99 D99 E99  
4 3 1 .BO.CC.BO.DDAAO..PQQQG.PEFFG.PE...HH G99 Q99 E99  
4 3 1 .BOCC..BO.DDAAO..PQQQ..PEFFG.PE..GHH Q99 E99 C99  
4 3 1 .BOCC..BODDPAAO..PEQQQ.PEFFG.....GHH C99 P99 D99  
4 3 1 .BO.CC.BODD.AAO..PQQQ..PEFFG.PE..GHH Q99 D99 E99  
4 3 1 .BOCC..BODD.AAO..PE.QQQPEFFG.P...GHH D99 Q99 C99  
5 4 1 .BOCC..BODD.AAO..P..QQQPEFFG.PE..GHH D99 E99 Q99 C99  
5 4 1 .BOGCC.BOGDDAAO..PQQQ..PE.FF.PE...HH F99 G96 Q99 E99  
5 4 1 .BOCCP.BODDPAAO..PE.QQQ.EFFG.....GHH Q99 P98 D99 C99  
5 4 1 .BO.CC.BO.DDAAOG.PQQQG.PE.FF.PE...HH F99 G98 Q99 E99  
5 4 1 .BO.CC.BODD.AAO..PQQQG.PEFFG.PE...HH D99 G99 Q99 E99  
5 4 1 .BOCC..BO.DDAAO..PQQQG.PEFFG.PE...HH C99 G99 Q99 E99  
5 4 1 .BO.CC.BODD.AAOG.PQQQG.PEFF..PE...HH D99 G98 Q99 E99  
5 4 1 .BOCC..BODDPAAO..PE.QQQPEFFG.....GHH C99 P99 D99 Q99  
5 4 1 .BOCC..BO.DDAAOG.PQQQG.PEFF..PE...HH C99 G98 Q99 E99  
5 4 1 .BO.CC.BOGDDAAOG.P.QQQ.PEFF..PE...HH Q98 G97 Q99 E99  
5 4 1 .BO.CC.BODDPAAO..P..QQQPEFFG..E..GHH E99 P99 D99 Q99  
5 4 1 .BOCCP.BODDPAAO..PE..QQQEFFG.....GHH Q98 P98 D99 C99  
5 4 1 .BO.CC.BOGDDAAOG.PQQQ..PEFF..PEHH... H97 G97 Q99 E99  
5 4 1 .BO.CC.BOGDDAAOG.PQQQ..PEFF..PE.HH.. H98 G97 Q99 E99  
5 4 1 .BOGCC.BOGDDAAO..P..QQQPEFF..PE...HH Q97 G96 Q99 E99  
5 4 1 .BO.CC.BOGDDAAOG.PQQQ..PEFF..PE..HH. H99 G97 Q99 E99  
5 4 1 .BO.CC.BOGDDAAOG.PQQQ..PE..FFPE...HH F98 G97 Q99 E99  
5 4 1 .BO.CC.BOGDDAAOG.PQQQ..PE.FF.PE...HH F99 G97 Q99 E99  
5 4 1 .BO.CC.BOGDDAAOG.P..QQQPEFF..PE...HH Q97 G97 Q99 E99  
5 4 1 .BO.CC.BODDPAAO..PQQQ..PEFFG..E..GHH Q99 E99 P99 D99  
5 4 1 .BO.CC.BO.DDAAO..PQQQG.PEFFG.PE.HH.. H98 G99 Q99 E99  
5 4 1 .BOCC..BOGDDAAOG.PQQQ..PEFF..PE...HH C99 G97 Q99 E99  
5 4 1 .BOCCP.BODDPAAO..P.QQQ..EFFG..E..GHH E99 P98 D99 C99  
5 4 1 .BO.CC.BO.DDAAOG.PQQQG.PEFF..PEHH... H97 G98 Q99 E99  
5 4 1 .BOGCC.BOGDDAAO..P.QQQ.PEFF..PE...HH Q98 G96 Q99 E99  
5 4 1 .BOGCC.BOGDDAAO..PQQQ..PEFF..PEHH... H97 G96 Q99 E99  
5 4 1 .BOCC..BODD.AAO..PQQQ..PEFFG.PE..GHH Q99 C99 D99 E99  
5 4 1 .BO.CC.BO.DDAAO..PQQQG.PEFFG.PE..HH. H99 G99 Q99 E99  
5 4 1 .BOGCC.BOGDDAAO..PQQQ..PEFF..PE.HH.. H98 G96 Q99 E99  
5 4 1 .BOGCC.BOGDDAAO..PQQQ..PEFF..PE..HH. H99 G96 Q99 E99  
5 4 1 .BOCC..BODDPAAO..P.QQQ.PEFFG..E..GHH C99 E99 P99 D99  
5 4 1 .BO.CC.BO.DDAAO..PQQQG.PEFFG.PEHH... H97 G99 Q99 E99  
5 4 1 .BO.CC.BO.DDAAOG.PQQQG.PEFF..PE.HH.. H98 G98 Q99 E99  
5 4 1 .BOGCC.BOGDDAAO..PQQQ..PE..FFPE...HH F98 G96 Q99 E99  
5 4 1 .BO.CC.BO.DDAAOG.PQQQG.PEFF..PE..HH. H99 G98 Q99 E99  
5 4 1 .BO.CC.BO.DDAAOG.PQQQG.PE..FFPE...HH F98 G98 Q99 E99  
6 5 1 .BOCCP.BODDPAAO..P..QQQ.EFFG..E..GHH P98 D99 E99 Q99 C99  
6 5 1 .BOGCC.BOGDDAAO..P.QQQ.PE.FF.PE...HH Q98 F99 G96 Q99 E99  
6 5 1 .BO.CC.BODD.AAOG.PQQQG.PEFF..PEHH... H97 D99 G98 Q99 E99  
6 5 1 .BOCC..BOGDDAAOG.PQQQ..PEFF..PEHH... C99 H97 G97 Q99 E99  
6 5 1 .BOGCC.BOGDDAAO..PE.QQQPEFF..P....HH E98 Q97 G96 Q99 E99  
6 5 1 .BO.CC.BO.DDAAOG.PQQQG.PE..FFPE..HH. F98 H99 G98 Q99 E99  
6 5 1 .BO.CC.BO.DDAAOG..QQQG.PEFF..PE..HHP P99 H99 G98 Q99 E99  
6 5 1 .BOGCC.BOGDDAAO...QQQ..PEFF..PE.HH.P P99 H98 G96 Q99 E99  
6 5 1 .B.CCP.BODDPAAO..PE.OQQQEFFG.....GHH O99 Q98 P98 D99 C99  
6 5 1 .BOGCC.BOGDDAAO..P..QQQPE.FF.PE...HH Q97 F99 G96 Q99 E99  
6 5 1 .BO.CC.BOGDDAAOG.P.QQQ.PEFF..PE.HH.. H98 Q98 G97 Q99 E99  
6 5 1 .BO.CC.BOGDDAAOG.P.QQQ.PEFF..PE..HH. H99 Q98 G97 Q99 E99  
6 5 1 .BO.CC.BO.DDAAOG.PQQQG.PE.FF.PEHH... H97 F99 G98 Q99 E99  
6 5 1 .BOCC..BO.DDAAO..PQQQG.PEFFG.PEHH... H97 C99 G99 Q99 E99  
6 5 1 .BO.CC.BOGDDAAOG.P.QQQ.PE..FFPE...HH F98 Q98 G97 Q99 E99  
6 5 1 .BO.CC.BOGDDAAOG.P.QQQ.PE.FF.PE...HH F99 Q98 G97 Q99 E99  
6 5 1 .BO.CC.BODD.AAO..PQQQG.PEFFG.PEHH... H97 D99 G99 Q99 E99  
6 5 1 .BOCC..BOGDDAAOG.P.QQQ.PEFF..PE...HH C99 Q98 G97 Q99 E99  
6 5 1 .BOCC..BO.DDAAOG.PQQQG.PEFF..PE.HH.. H98 C99 G98 Q99 E99  
6 5 1 .BO.CC.BODD.AAOG.PQQQG.PEFF..PE.HH.. H98 D99 G98 Q99 E99  
6 5 1 .BOCC..BO.DDAAOG.PQQQG.PEFF..PE..HH. H99 C99 G98 Q99 E99  
6 5 1 .BO.CC.BOGDDAAOG.PEQQQ.PEFF..P....HH E98 Q98 G97 Q99 E99  
6 5 1 .BO.CC.BOGDDAAOG.P..QQQPEFF..PE.HH.. Q97 H98 G97 Q99 E99  
6 5 1 .BOCC..BO.DDAAOG.PQQQG.PE..FFPE...HH F98 C99 G98 Q99 E99  
6 5 1 .BO.CC.BODD.AAOG.PQQQG.PEFF..PE..HH. H99 D99 G98 Q99 E99  
6 5 1 .BOCC..BO.DDAAOG.PQQQG.PEFF..PEHH... H97 C99 G98 Q99 E99  
6 5 1 .BO.CC.BODD.AAOG.PQQQG.PE..FFPE...HH F98 D99 G98 Q99 E99  
6 5 1 .BO.CC.BODDPAAOG.PQQQG.PEFF...E...HH P99 D99 G98 Q99 E99  
6 5 1 .BO.CC.BOGDDAAOG.P.QQQ.PEFF..PEHH... H97 Q98 G97 Q99 E99  
6 5 1 .BO.CC.BO.DDAAO..PQQQ..PEFFG.PEHHG.. G94 H97 G97 Q99 E99  
6 5 1 .BOCC..BODD.AAOG.PQQQG.PEFF..PE...HH C99 D99 G98 Q99 E99  
6 5 1 .BOCC..BO.DDAAO..PQQQG.PEFFG.PE.HH.. H98 C99 G99 Q99 E99  
6 5 1 .BOCCP.BODDPAAO..P...QQQEFFG..E..GHH E99 Q98 P98 D99 C99  
6 5 1 .BOCC..BO.DDAAO..PQQQG.PEFFG.PE..HH. H99 C99 G99 Q99 E99  
6 5 1 .BO.CC.BODD.AAO..PQQQG.PEFFG.PE.HH.. H98 D99 G99 Q99 E99  
6 5 1 .BO.CC.BOGDDAAOG.P..QQQPEFF..PE..HH. Q97 H99 G97 Q99 E99  
6 5 1 .BO.CC.BOGDDAAOG.P..QQQPE.FF.PE...HH Q97 F99 G97 Q99 E99  
6 5 1 .BOCC..BODDPAAO..PQQQ..PEFFG..E..GHH C99 Q99 E99 P99 D99  
6 5 1 .BO.CC.BO.DDAAOG..QQQG.PEFF..PE.HH.P P99 H98 G98 Q99 E99  
6 5 1 .BO.CC.BODD.AAO..PQQQG.PEFFG.PE..HH. H99 D99 G99 Q99 E99  
6 5 1 .BO.CC.BODDPAAO..PQQQG.PEFFG..E...HH P99 D99 G99 Q99 E99  
6 5 1 .BO.CC.BOGDDAAOG.P..QQQPE..FFPE...HH Q97 F98 G97 Q99 E99  
6 5 1 .BOCC..BODD.AAO..PQQQG.PEFFG.PE...HH C99 D99 G99 Q99 E99  
6 5 1 .BO.CC.BO.DDAAOG.PQQQG.PE.FF.PE.HH.. H98 F99 G98 Q99 E99  
6 5 1 .BO.CC.BOGDDAAOG.PE.QQQPEFF..P....HH E98 Q97 G97 Q99 E99  
6 5 1 .BO.CC.BO.DDAAO...QQQG.PEFFG.PE.HH.P P99 H98 G99 Q99 E99  
6 5 1 .BOGCC.BOGDDAAO..P.QQQ.PEFF..PEHH... H97 Q98 G96 Q99 E99  
6 5 1 .BO.CC.BO.DDAAOG.PQQQG.PE.FF.PE..HH. H99 F99 G98 Q99 E99  
6 5 1 .BOGCC.BOGDDAAO..P.QQQ.PEFF..PE.HH.. H98 Q98 G96 Q99 E99  
6 5 1 .BOGCC.BOGDDAAO..P.QQQ.PEFF..PE..HH. H99 Q98 G96 Q99 E99  
6 5 1 .BO.CC.BODD.AAOG.PQQQG.PE.FF.PE...HH D99 F99 G98 Q99 E99  
6 5 1 .BOCC..BOGDDAAOG.P..QQQPEFF..PE...HH C99 Q97 G97 Q99 E99  
6 5 1 .BOGCC.BOGDDAAO..P.QQQ.PE..FFPE...HH F98 Q98 G96 Q99 E99  
6 5 1 .BO.CC.BO.DDAAOG..QQQG.PEFF..PEHH..P P99 H97 G98 Q99 E99  
6 5 1 .BOCC..BO.DDAAOG.PQQQG.PE.FF.PE...HH C99 F99 G98 Q99 E99  
6 5 1 .BOCC..BOGDDAAOG.PQQQ..PE.FF.PE...HH C99 F99 G97 Q99 E99  
