--------------------------------------------------------------------------------

Initial board configuration: ..BOOOC.BPDDCAAP..EFFPG.EHIIGJ.HQQQJ 

..BOOO
C.BPDD
CAAP..
EFFPG.
EHIIGJ
.HQQQJ

Car fuel available: B:100, O:100, C:100, P:100, D:100, A:100, E:100, F:100, G:100, H:100, I:100, J:100, Q:100

Runtime: 0.82710
Search path length: 1551 states 
Solution path length: 73 moves 
Solution path: C U 1; E D 1; F L 1; G U 1; I R 1; A L 1; J U 2; I R 1; B D 3; Q R 1; P D 1; D L 3; G U 1; Q L 1; O L 2; P U 1; I L 1; J D 1; A R 1; C D 1; G D 1; J U 3; Q R 1; B D 1; I R 1; C U 1; G U 2; F R 1; C D 2; G D 2; O L 1; G U 1; P D 1; C U 1; E U 1; P U 1; I L 1; J D 3; G U 1; P U 1; F R 1; H U 1; E D 1; F R 1; C D 1; J U 3; F R 1; C U 1; E U 1; J D 1; I R 1; P D 1; J U 1; G D 1; P D 1; H D 1; D R 1; B U 1; H U 1; O R 1; D L 1; Q L 3; P U 1; Q R 1; G U 1; J D 1; Q L 1; P D 2; D R 1; J U 1; A R 2; D L 1; A R 1 

C U 1 	 99 C.BOOOC.BPDD.AAP..EFFPG.EHIIGJ.HQQQJ
E D 1 	 99 C.BOOOC.BPDD.AAP...FFPG.EHIIGJEHQQQJ
F L 1 	 99 C.BOOOC.BPDD.AAP..FF.PG.EHIIGJEHQQQJ
G U 1 	 99 C.BOOOC.BPDD.AAPG.FF.PG.EHII.JEHQQQJ
I R 1 	 99 C.BOOOC.BPDD.AAPG.FF.PG.EH.IIJEHQQQJ
A L 1 	 99 C.BOOOC.BPDDAA.PG.FF.PG.EH.IIJEHQQQJ
J U 2 	 98 C.BOOOC.BPDDAA.PGJFF.PGJEH.II.EHQQQ.
I R 1 	 98 C.BOOOC.BPDDAA.PGJFF.PGJEH..IIEHQQQ.
B D 3 	 97 C..OOOC..PDDAA.PGJFFBPGJEHB.IIEHQQQ.
Q R 1 	 99 C..OOOC..PDDAA.PGJFFBPGJEHB.IIEH.QQQ
P D 1 	 99 C..OOOC...DDAA.PGJFFBPGJEHBPIIEH.QQQ
D L 3 	 97 C..OOOCDD...AA.PGJFFBPGJEHBPIIEH.QQQ
G U 1 	 98 C..OOOCDD.G.AA.PGJFFBP.JEHBPIIEH.QQQ
Q L 1 	 98 C..OOOCDD.G.AA.PGJFFBP.JEHBPIIEHQQQ.
O L 2 	 98 COOO..CDD.G.AA.PGJFFBP.JEHBPIIEHQQQ.
