0 0 0 B..OOOB..C.PAA.CDPQQQ.DP..E.FFGGEHH.  
1 1 0 B.OOO.B..C.PAA.CDPQQQ.DP..E.FFGGEHH. O99  
1 1 0 B..OOOB....PAA.CDPQQQCDP..E.FFGGEHH. C99  
1 1 0 B..OOOB..C.PAA.CDP.QQQDP..E.FFGGEHH. Q99  
1 1 0 B..OOOB..C.PAA.CDPQQQ.DP..E.FFGGE.HH H99  
1 1 0 B..OOOB..CDPAA.CDPQQQ..P..E.FFGGEHH. D99  
1 1 0 BOOO..B..C.PAA.CDPQQQ.DP..E.FFGGEHH. O98  
1 1 0 B..OOOB..C.P.AACDPQQQ.DP..E.FFGGEHH. A99  
1 1 0 B..OOOB....PAA..DPQQQCDP..ECFFGGEHH. C98  
1 1 0 B..OOOB..C.PAA.CDPQQQ.DP..EFF.GGEHH. F99  
2 2 0 B.OOO.B..C.PAA.CDPQQQ.DP..EFF.GGEHH. F99 O99  
2 2 0 B.OOO.B..C.PAA.CDPQQQ.DP..E.FFGGE.HH H99 O99  
2 2 0 B..OOOB..C.PAA.CDP.QQQDP..E.FFGGE.HH H99 Q99  
2 2 0 B..OOOB..CDP.AACDPQQQ..P..E.FFGGEHH. A99 D99  
2 2 0 B..OOOB....P..AADPQQQCDP..ECFFGGEHH. A98 C98  
2 2 0 B..OOOB..C..AA.CD.QQQ.DP..EFFPGGEHHP P98 F99  
2 2 0 B..OOOB...DPAA..DPQQQC.P..ECFFGGEHH. C98 D99  
2 2 0 B.OOO.B..C.PAA.CDP.QQQDP..E.FFGGEHH. Q99 O99  
2 2 0 BOOO..B..CDPAA.CDPQQQ..P..E.FFGGEHH. O98 D99  
2 2 0 B..OOOB..CDPAA.CDPQQQ..P..E.FFGGE.HH D99 H99  
2 2 0 B.OOO.B..CDPAA.CDPQQQ..P..E.FFGGEHH. D99 O99  
2 2 0 B..OOOB....PAA.CDPQQQCDP..E.FFGGE.HH H99 C99  
2 2 0 B..OOOB..C.P.AACDPQQQ.DP..E.FFGGE.HH A99 H99  
2 2 0 B..OOOB....PAA..DPQQQ.DP..ECFFGGECHH C97 H99  
2 2 0 B.OOO.B..C.P.AACDPQQQ.DP..E.FFGGEHH. A99 O99  
2 2 0 B..OOOB....PAA..DPQQQCDP..ECFFGGE.HH C98 H99  
2 2 0 BOOO..B..C.PAA.CDPQQQ.DP..E.FFGGE.HH O98 H99  
2 2 0 B.OOOPB..C.PAA.CDPQQQ.D...E.FFGGEHH. P99 O99  
2 2 0 B..OOOB..C.PAA.CDP.QQQDP..EFF.GGEHH. F99 Q99  
2 2 0 B..OOOB..C.PAA.CDPQQQ.DP..EFF.GGE.HH F99 H99  
2 2 0 B..OOOB..C.P.AACDPQQQ.DP..EFF.GGEHH. F99 A99  
2 2 0 B..OOOB..CDPAA.CDP.QQQ.P..E.FFGGEHH. D99 Q99  
2 2 0 B.OOO.B....PAA..DPQQQCDP..ECFFGGEHH. C98 O99  
2 2 0 B..OOOB..C.P.AACDP.QQQDP..E.FFGGEHH. A99 Q99  
2 2 0 BOOO..B..C.PAA.CDP.QQQDP..E.FFGGEHH. O98 Q99  
2 2 0 B.OOO.B....PAA.CDPQQQCDP..E.FFGGEHH. C99 O99  
2 2 0 B..OOOB....PAA.CDPQQQCDP..EFF.GGEHH. F99 C99  
2 2 0 BOOO..B..C.PAA.CDPQQQ.DP..EFF.GGEHH. F99 O98  
2 2 0 B..OOOB..C..AA.CDPQQQ.DP..EFFPGGEHH. P99 F99  
2 2 0 B..OOOB....P.AA.DPQQQCDP..ECFFGGEHH. C98 A99  
2 2 0 B..OOOB...DPAA.CDPQQQC.P..E.FFGGEHH. D99 C99  
2 2 0 ...OOOB..C.PBAACDPQQQ.DP..E.FFGGEHH. B99 A99  
2 2 0 BOOOD.B..CDPAA.C.PQQQ..P..E.FFGGEHH. D98 O98  
2 2 0 B..OOOB....P.AACDPQQQCDP..E.FFGGEHH. A99 C99  
2 2 0 B..OOOB..CDPAA.CDPQQQ..P..EFF.GGEHH. F99 D99  
2 2 0 BOOO..B..C.P.AACDPQQQ.DP..E.FFGGEHH. A99 O98  
2 2 0 BOOO.PB..C.PAA.CDPQQQ.D...E.FFGGEHH. P99 O98  
2 2 0 BOOO..B....PAA.CDPQQQCDP..E.FFGGEHH. O98 C99  
2 2 0 BOOO..B....PAA..DPQQQCDP..ECFFGGEHH. C98 O98  
2 2 0 B..OOOB..CDPAA.CDP..QQQP..E.FFGGEHH. Q98 D99  
3 3 0 B.OOO.B..C.PAA.CDPQQQ.DP..EFF.GGE.HH H99 F99 O99  
3 3 0 B..OOOB..C.PAA.CDP.QQQDP..EFF.GGE.HH F99 H99 Q99  
3 3 0 B..OOOB..CDP.AACDPQQQ..P..EFF.GGEHH. F99 A99 D99  
3 3 0 B..OOOB...DPAA..DPQQQC.P..ECFFGGE.HH H99 C98 D99  
3 3 0 B.OOOPB..C.P.AACDPQQQ.D...E.FFGGEHH. P99 A99 O99  
3 3 0 BOOOD.B..CDP.AAC.PQQQ..P..E.FFGGEHH. A99 D98 O98  
3 3 0 BOOODPB..CDPAA.C.PQQQ.....E.FFGGEHH. P99 D98 O98  
3 3 0 B..OOOB..CDP.AACDP..QQQP..E.FFGGEHH. Q98 A99 D99  
3 3 0 B.OOO.B..C.PAA.CDP.QQQDP..E.FFGGE.HH Q99 H99 O99  
3 3 0 B..OOOB..CDP.AACDP.QQQ.P..E.FFGGEHH. Q99 A99 D99  
3 3 0 B..OOOB...DP.AA.DPQQQC.P..ECFFGGEHH. C98 A99 D99  
3 3 0 B..OOOB...DP.AACDPQQQC.P..E.FFGGEHH. C99 A99 D99  
3 3 0 B..OOOB..CDP.AACDPQQQ..P..E.FFGGE.HH H99 A99 D99  
3 3 0 B..OOOB..C..AA.CD..QQQDP..EFFPGGEHHP Q99 P98 F99  
3 3 0 BOOO..B..CDP.AACDPQQQ..P..E.FFGGEHH. O98 A99 D99  
3 3 0 B.OOO.B..CDP.AACDPQQQ..P..E.FFGGEHH. O99 A99 D99  
3 3 0 B..OOOB....P..AADPQQQCDP..ECFFGGE.HH H99 A98 C98  
3 3 0 BOOOD.B...DPAA...PQQQC.P..ECFFGGEHH. C98 D98 O98  
3 3 0 ...OOOB..CDPBAACDPQQQ..P..E.FFGGEHH. B99 A99 D99  
3 3 0 BOOOD.B...DPAA.C.PQQQC.P..E.FFGGEHH. C99 D98 O98  
3 3 0 OOO...B..C.PBAACDPQQQ.DP..E.FFGGEHH. O97 B99 A99  
3 3 0 B..OOOB..CDPAA.CDP.QQQ.P..E.FFGGE.HH D99 H99 Q99  
3 3 0 B.OOO.B..CDPAA.CDP.QQQ.P..E.FFGGEHH. D99 Q99 O99  
3 3 0 B..OOOB..CDPAA.CDPQQQ..P..EFF.GGE.HH F99 D99 H99  
3 3 0 B..OOOB....PAA..DP.QQQDP..ECFFGGECHH Q99 C97 H99  
3 3 0 .OOO..B..C.PBAACDPQQQ.DP..E.FFGGEHH. O98 B99 A99  
3 3 0 BOOO..B..C..AA.CDPQQQ.DP..EFFPGGEHH. P99 F99 O98  
3 3 0 B..OOOB..C.P.AACDP.QQQDP..E.FFGGE.HH A99 H99 Q99  
3 3 0 BOOO.PB..C.PAA.CDPQQQ.D...EFF.GGEHH. P99 F99 O98  
3 3 0 B..OOOB.....AA.CDPQQQCDP..EFFPGGEHH. P99 F99 C99  
3 3 0 BOOO..B..C.PAA.CDP.QQQDP..E.FFGGE.HH O98 H99 Q99  
3 3 0 BOOO..B..CDPAA.CDPQQQ..P..E.FFGGE.HH H99 O98 D99  
3 3 0 BOOO..B....PAA.CDPQQQCDP..EFF.GGEHH. O98 F99 C99  
3 3 0 ...OOO...C.P.AACDPBQQQDPB.E.FFGGEHH. B97 A99 Q99  
3 3 0 B.OOO.B..CDPAA.CDPQQQ..P..E.FFGGE.HH D99 H99 O99  
3 3 0 ...OOO...C.PBAACDPBQQQDP..E.FFGGEHH. B98 A99 Q99  
3 3 0 ...OOOB..C.PBAACDP.QQQDP..E.FFGGEHH. B99 A99 Q99  
3 3 0 B.OOO.B..C.P.AACDPQQQ.DP..E.FFGGE.HH A99 H99 O99  
3 3 0 B.OOO.B..CDPAA.CDP..QQQP..E.FFGGEHH. Q98 D99 O99  
3 3 0 B..OOOB..C.P.AACDPQQQ.DP..EFF.GGE.HH F99 A99 H99  
3 3 0 ...OOOB..C.PBAACDPQQQ.DP..EFF.GGEHH. B99 F99 A99  
3 3 0 B..OOOB..C.P.AACDP.QQQDP..EFF.GGEHH. A99 F99 Q99  
3 3 0 B.OOOPB..C.PAA.CDPQQQ.D...E.FFGGE.HH P99 H99 O99  
3 3 0 B..OOOB..C..AA.CDP.QQQDP..EFFPGGEHH. P99 F99 Q99  
3 3 0 BOOO..B..C.PAA.CDP.QQQDP..EFF.GGEHH. O98 F99 Q99  
3 3 0 B.OOO.B....PAA..DPQQQ.DP..ECFFGGECHH C97 H99 O99  
