0 0 0 ...OOO...BCPAA.BCP..QDDP..QEE...QRRR  
1 1 0 ..OOO....BCPAA.BCP..QDDP..QEE...QRRR O99  
1 1 0 OOO......BCPAA.BCP..QDDP..QEE...QRRR O97  
1 1 0 ...OOO..QBCPAAQBCP..QDDP...EE....RRR Q98  
1 1 0 ...OOO...BCPAA.BCP..QDDP..Q.EE..QRRR E99  
1 1 0 ...OOO...BCPAAQBCP..QDDP..QEE....RRR Q99  
1 1 0 .OOO.....BCPAA.BCP..QDDP..QEE...QRRR O98  
1 1 0 ...OOO...BCP.AABCP..QDDP..QEE...QRRR A99  
1 1 0 ...OOO...BC.AA.BCP..QDDP..QEEP..QRRR P99  
1 1 0 ..QOOO..QBCPAAQBCP...DDP...EE....RRR Q97  
2 2 0 ..OOO....BCPAA.BCP..QDDP..Q.EE..QRRR E99 O99  
2 2 0 OOO.C....BCPAA.B.P..QDDP..QEE...QRRR C99 O97  
2 2 0 ...OOO..QBCPAAQBCP..QDDP...EE.RRR... R97 Q98  
2 2 0 ...OOO...BCPAAQBCP..QDDP..Q.EE...RRR Q99 E99  
2 2 0 ..QOOO..QBC.AAQBCP...DDP...EEP...RRR Q97 P99  
2 2 0 ..QOOO..QBCPAAQBCP...DDP...EE.RRR... R97 Q97  
2 2 0 ...OOO...BCP.AABCP..QDDP..Q.EE..QRRR A99 E99  
2 2 0 OOOB.....BCPAA..CP..QDDP..QEE...QRRR B99 O97  
2 2 0 .OOO.....BCPAA.BCP..QDDP..Q.EE..QRRR O98 E99  
2 2 0 ...OOO..QBCPAAQBCP..QDDP...EE..RRR.. R98 Q98  
2 2 0 ..OOO...QBCPAAQBCP..QDDP...EE....RRR Q98 O99  
2 2 0 OOO......BCPAA.BCP..QDDP..Q.EE..QRRR E99 O97  
2 2 0 ...OOO..QBCPAAQBCP..QDDP...EE...RRR. R99 Q98  
2 2 0 ...OOO..QBCPAAQBCP..QDDPEE.......RRR E97 Q98  
2 2 0 ..OOO....BCPAAQBCP..QDDP..QEE....RRR Q99 O99  
2 2 0 ...OOO..QBCPAAQBCP..QDDP.EE......RRR E98 Q98  
2 2 0 ...OOO..QBCPAAQBCP..QDDP..EE.....RRR E99 Q98  
2 2 0 ..OOO....BCP.AABCP..QDDP..QEE...QRRR A99 O99  
2 2 0 ...OOO..QBCPAAQBCP..QDDP....EE...RRR E99 Q98  
2 2 0 ..QOOO..QBCPAAQBCP...DDP....EE...RRR Q97 E99  
2 2 0 ...OOO...BC..AABCP..QDDP..QEEP..QRRR P99 A99  
2 2 0 ..QOOO..QBCPAAQBCP...DDP...EE..RRR.. R98 Q97  
2 2 0 ...OOO..QBC.AAQBCP..QDDP...EEP...RRR P99 Q98  
2 2 0 ..QOOO..QBCPAAQBCP...DDP...EE...RRR. R99 Q97  
2 2 0 ..QOOO..QBCPAAQBCP...DDPEE.......RRR E97 Q97  
2 2 0 ..OOO....BC.AA.BCP..QDDP..QEEP..QRRR P99 O99  
2 2 0 .OOO....QBCPAAQBCP..QDDP...EE....RRR O98 Q98  
2 2 0 ..QOOO..QBCPAAQBCP...DDP.EE......RRR E98 Q97  
2 2 0 ..QOOO..QBCPAAQBCP...DDP..EE.....RRR E99 Q97  
2 2 0 OOO.....QBCPAAQBCP..QDDP...EE....RRR Q98 O97  
2 2 0 ..QOOO..QBCPAAQBCPDD...P...EE....RRR D97 Q97  
2 2 0 ..QOOO..QBCPAAQBCP.DD..P...EE....RRR D98 Q97  
2 2 0 ..OOOP...BCPAA.BCP..QDD...QEE...QRRR P99 O99  
2 2 0 OOO......BCPAAQBCP..QDDP..QEE....RRR Q99 O97  
2 2 0 .OOO.....BC.AA.BCP..QDDP..QEEP..QRRR P99 O98  
2 2 0 ..QOOO..QBCPAAQBCP..DD.P...EE....RRR D99 Q97  
2 2 0 .OOO.....BCP.AABCP..QDDP..QEE...QRRR A99 O98  
2 2 0 OOO......BCP.AABCP..QDDP..QEE...QRRR A99 O97  
2 2 0 .OOO.P...BCPAA.BCP..QDD...QEE...QRRR P99 O98  
2 2 0 .OOOC....BCPAA.B.P..QDDP..QEE...QRRR C99 O98  
2 2 0 OOO......BC.AA.BCP..QDDP..QEEP..QRRR P99 O97  
2 2 0 ...OOO...BCPAAQBCP..QDDP..QEE..RRR.. R98 Q99  
2 2 0 ...OOO...BCPAAQBCP..QDDP..QEE.RRR... R97 Q99  
2 2 0 ...OOO...BCPAAQBCP..QDDP..QEE...RRR. R99 Q99  
2 2 0 OOO..P...BCPAA.BCP..QDD...QEE...QRRR P99 O97  
2 2 0 ...OOO...BC.AAQBCP..QDDP..QEEP...RRR P99 Q99  
2 2 0 .OOO.....BCPAAQBCP..QDDP..QEE....RRR O98 Q99  
3 3 0 ..OOO...QBCPAAQBCP..QDDP....EE...RRR Q98 E99 O99  
3 3 0 ...OOO..QBCPAAQBCP..QDDP.EE...RRR... E98 R97 Q98  
3 3 0 ...OOO..QBCPAAQBCP..QDDPEE....RRR... E97 R97 Q98  
3 3 0 OOO......BCP.AABCP..QDDP..Q.EE..QRRR O97 A99 E99  
3 3 0 ..OOO....BCPAAQBCP..QDDP..QEE.RRR... R97 Q99 O99  
3 3 0 ..QOOO..QBCPAAQBCPDD...P....EE...RRR D97 Q97 E99  
3 3 0 ...OOO...BC.AAQBCP..QDDP..QEEP..RRR. P99 R99 Q99  
3 3 0 .OOO.....BCPAAQBCP..QDDP..QEE...RRR. O98 R99 Q99  
3 3 0 ..QOOO..QBCPAAQBCP.DD..P....EE...RRR D98 Q97 E99  
3 3 0 ...OOO..QBCPAAQBCP..QDDP..EE..RRR... E99 R97 Q98  
3 3 0 ..QOOO..QBCPAAQBCP..DD.P....EE...RRR D99 Q97 E99  
3 3 0 OOO.....QBCPAAQBCP..QDDP..EE.....RRR O97 E99 Q98  
3 3 0 OOO.C....BCPAA.B.P..QDDP..Q.EE..QRRR E99 C99 O97  
3 3 0 ...OOO..QBCPAAQBCP..QDDP....EERRR... E99 R97 Q98  
3 3 0 .OOO....QBCPAAQBCP..QDDP..EE.....RRR O98 E99 Q98  
3 3 0 OOO.....QBCPAAQBCP..QDDP.EE......RRR O97 E98 Q98  
3 3 0 ...OOO..QBC.AAQBC...QDDP...EEPRRR..P P98 R97 Q98  
3 3 0 .OOO....QBCPAAQBCP..QDDP.EE......RRR O98 E98 Q98  
3 3 0 ..OOO....BCPAAQBCP..QDDP..QEE..RRR.. R98 Q99 O99  
3 3 0 ...OOO..QBC.AAQBCP..QDDP...EEPRRR... P99 R97 Q98  
3 3 0 ...OOO...BCPAAQBCP..QDDP..Q.EERRR... R97 Q99 E99  
3 3 0 ..QOOO..QBCPAAQBCP...DDPEE....RRR... E97 R97 Q97  
3 3 0 ..OOO....BCPAAQBCP..QDDP..QEE...RRR. R99 Q99 O99  
3 3 0 ..OOO....BC.AAQBCP..QDDP..QEEP...RRR P99 Q99 O99  
3 3 0 OOO.....QBCPAAQBCP..QDDP...EE.RRR... O97 R97 Q98  
3 3 0 ..OOOP...BCPAAQBCP..QDD...QEE....RRR P99 Q99 O99  
3 3 0 ...OOO...BCPAAQBCP..QDDPEEQ......RRR Q97 E97 Q98  
3 3 0 .OOO....QBCPAAQBCP..QDDP...EE.RRR... O98 R97 Q98  
3 3 0 ..QOOO..QBC.AAQBCP...DDP...EEPRRR... R97 Q97 P99  
3 3 0 ...OOO..QBC.AAQBCP..QDDPEE...P...RRR P99 E97 Q98  
3 3 0 OOO.....QBCPAAQBCP..QDDPEE.......RRR O97 E97 Q98  
3 3 0 ..OOO...QBCPAAQBCP..QDDP...EE.RRR... O99 R97 Q98  
3 3 0 .OOO....QBCPAAQBCP..QDDPEE.......RRR O98 E97 Q98  
3 3 0 ...OOO..QBCPAAQBCP..QDDP.EE.....RRR. E98 R99 Q98  
3 3 0 OOO.C...QBCPAAQB.P..QDDP...EE....RRR Q98 C99 O97  
3 3 0 OOOB.....BCPAA..CP..QDDP..Q.EE..QRRR E99 B99 O97  
3 3 0 ...OOO..QBCPAAQBCP..QDDPEE.....RRR.. E97 R98 Q98  
3 3 0 ...OOO..QBCPAAQBCP..QDDP..EE....RRR. E99 R99 Q98  
3 3 0 ...OOO...BCPAA.BCP..QDDPEEQ.....QRRR Q96 E97 Q98  
3 3 0 ...OOO..QBCPAAQBCP..QDDP....EE..RRR. E99 R99 Q98  
3 3 0 OOO.C....BCPAAQB.P..QDDP..QEE....RRR Q99 C99 O97  
3 3 0 ...OOO..QBC.AAQBC...QDDP...EEP..RRRP P98 R99 Q98  
3 3 0 ...OOO..QBC.AAQBCP..QDDP...EEP..RRR. P99 R99 Q98  
3 3 0 OOO.C....BCP.AAB.P..QDDP..QEE...QRRR A99 C99 O97  
3 3 0 .OOO....QBCPAAQBCP..QDDP....EE...RRR Q98 O98 E99  
3 3 0 OOO.....QBCPAAQBCP..QDDP...EE...RRR. O97 R99 Q98  
3 3 0 .OOO....QBCPAAQBCP..QDDP...EE...RRR. O98 R99 Q98  
3 3 0 OOO.C....BC.AA.B.P..QDDP..QEEP..QRRR P99 C99 O97  
3 3 0 OOO..P...BCPAA.BCP..QDD...Q.EE..QRRR P99 E99 O97  
3 3 0 ..OOO...QBCPAAQBCP..QDDPEE.......RRR E97 Q98 O99  
3 3 0 OOO.CP...BCPAA.B.P..QDD...QEE...QRRR P99 C99 O97  
3 3 0 ..OOO...QBCPAAQBCP..QDDP.EE......RRR E98 Q98 O99  
3 3 0 ..OOO...QBCPAAQBCP..QDDP...EE...RRR. R99 Q98 O99  
3 3 0 ...OOO..QBCPAAQBCP..QDDPEE......RRR. E97 R99 Q98  
3 3 0 ..OOO...QBCPAAQBCP..QDDP..EE.....RRR E99 Q98 O99  
3 3 0 OOOBC....BCPAA...P..QDDP..QEE...QRRR B99 C99 O97  
3 3 0 ..OOO...QBC.AAQBCP..QDDP...EEP...RRR P99 Q98 O99  
3 3 0 ..OOOP..QBCPAAQBCP..QDD....EE....RRR P99 Q98 O99  
3 3 0 ..OOO....BCPAAQBCP..QDDP..Q.EE...RRR Q99 E99 O99  
3 3 0 ...OOO..QBCPAAQBCP..QDDP.EE....RRR.. E98 R98 Q98  
3 3 0 OOO.....QBCPAAQBCP..QDDP....EE...RRR Q98 E99 O97  
3 3 0 ...OOO..QBCPAAQBCP..QDDP..EE...RRR.. E99 R98 Q98  
3 3 0 ..OOO....BCP.AABCP..QDDP..Q.EE..QRRR A99 E99 O99  
3 3 0 ...OOO..QBCPAAQBCP..QDDP....EE.RRR.. E99 R98 Q98  
3 3 0 ...OOO..QBC.AAQBC...QDDP...EEP.RRR.P P98 R98 Q98  
3 3 0 ..OOOP...BCPAA.BCP..QDD...Q.EE..QRRR P99 E99 O99  
3 3 0 ...OOO..QBC.AAQBCP..QDDP...EEP.RRR.. P99 R98 Q98  
3 3 0 ...OOO..QBC.AAQBCP..QDDP..EE.P...RRR P99 E99 Q98  
3 3 0 OOO......BC..AABCP..QDDP..QEEP..QRRR O97 P99 A99  
3 3 0 ..QOOO..QBCPAAQBCPDD...P..EE.....RRR D97 E99 Q97  
3 3 0 OOO..P...BCPAA.BCP..Q.DD..QEE...QRRR D99 P99 O97  
3 3 0 OOO.....QBCPAAQBCP..QDDP...EE..RRR.. O97 R98 Q98  
3 3 0 .OOO....QBCPAAQBCP..QDDP...EE..RRR.. O98 R98 Q98  
3 3 0 ...OOO..QBC.AAQBCP..QDDP.EE..P...RRR P99 E98 Q98  
3 3 0 ..OOO...QBCPAAQBCP..QDDP...EE..RRR.. O99 R98 Q98  
3 3 0 .OOO.P...BCPAA.BCP..QDD...Q.EE..QRRR P99 O98 E99  
3 3 0 ..OOO....BC..AABCP..QDDP..QEEP..QRRR P99 A99 O99  
3 3 0 ..QOOO..QBCPAAQBCP...DDP....EE.RRR.. R98 Q97 E99  
3 3 0 .OOOC....BCPAA.B.P..QDDP..Q.EE..QRRR C99 O98 E99  
3 3 0 OOOB....QBCPAAQ.CP..QDDP...EE....RRR Q98 B99 O97  
3 3 0 ..OOOP...BCP.AABCP..QDD...QEE...QRRR P99 A99 O99  
3 3 0 OOOB.....BCPAAQ.CP..QDDP..QEE....RRR Q99 B99 O97  
3 3 0 OOOB.....BCP..AACP..QDDP..QEE...QRRR A98 B99 O97  
3 3 0 ..QOOO..QBCPAAQBCP...DDPEE.....RRR.. E97 R98 Q97  
3 3 0 ..QOOO..QBCPAAQBCP...DDPEE......RRR. E97 R99 Q97  
3 3 0 ..QOOO..QBCPAAQBCPDD...P.EE......RRR D97 E98 Q97  
3 3 0 OOOB.....BCP.AA.CP..QDDP..QEE...QRRR A99 B99 O97  
3 3 0 OOOB.....BC.AA..CP..QDDP..QEEP..QRRR P99 B99 O97  
3 3 0 OOO.....QBC.AAQBCP..QDDP...EEP...RRR O97 P99 Q98  
3 3 0 OOOB.P...BCPAA..CP..QDD...QEE...QRRR P99 B99 O97  
3 3 0 .OOO.....BCP.AABCP..QDDP..Q.EE..QRRR O98 A99 E99  
3 3 0 ..QOOO..QBCPAAQBCPDD...PEE.......RRR D97 E97 Q97  
3 3 0 .OOO.P..QBCPAAQBCP..QDD....EE....RRR P99 O98 Q98  
3 3 0 ..QOOO..QBCPAAQBCP...DDP.EE...RRR... E98 R97 Q97  
3 3 0 ...OOO...BC.AAQBCP..QDDP..QEEPRRR... P99 R97 Q99  
3 3 0 ..QOOO..QBCPAAQBCP...DDP..EE..RRR... E99 R97 Q97  
