0 0 0 BB.C..DD.COP.AAQOPEEFQOPG.FQ..G..RRR  
1 1 0 .BBC..DD.COP.AAQOPEEFQOPG.FQ..G..RRR B99  
1 1 0 BB.CO.DD.COP.AAQOPEEFQ.PG.FQ..G..RRR O99  
1 1 0 BB.C..DD.COPAA.QOPEEFQOPG.FQ..G..RRR A99  
1 1 0 BB.C..DD.COP.AAQOPEEFQOPG.FQ..GRRR.. R98  
1 1 0 BB.C..DD.CO..AAQOPEEFQOPG.FQ.PG..RRR P99  
1 1 0 BB.C...DDCOP.AAQOPEEFQOPG.FQ..G..RRR D99  
1 1 0 BB.C.PDD.COP.AAQOPEEFQO.G.FQ..G..RRR P99  
1 1 0 BB.C..DD.C.P.AAQOPEEFQOPG.FQO.G..RRR O99  
1 1 0 BB.C..DD.COP.AAQOPEEFQOPG.FQ..G.RRR. R99  
1 1 0 BB.C..DD.COP.AAQOPEE.QOPG.FQ..G.FRRR F99  
2 2 0 .BBC..DD.COPAA.QOPEEFQOPG.FQ..G..RRR A99 B99  
2 2 0 .BBC..DD.COP.AAQOPEEFQOPG.FQ..GRRR.. R98 B99  
2 2 0 BB.C..DD.COPAA.QOPEE.QOPG.FQ..G.FRRR F99 A99  
2 2 0 BB.C..DD.COPAA.QOPEEFQOPG.FQ..GRRR.. R98 A99  
2 2 0 BB.C..DD.CO..AAQO.EEFQOPG.FQ.PG.RRRP P98 R99  
2 2 0 BB.C..DD.COP.AAQOP.EEQOPG.FQ..G.FRRR E99 F99  
2 2 0 BBFC..DDFCOPAA.QOPEE.QOPG..Q..G..RRR F97 A99  
2 2 0 .BBC..DD.CO..AAQOPEEFQOPG.FQ.PG..RRR P99 B99  
2 2 0 BB.C..DDFCOPAAFQOPEE.QOPG..Q..G..RRR F98 A99  
2 2 0 BB.C..DD.COPAAFQOPEEFQOPG..Q..G..RRR F99 A99  
2 2 0 .BBC.PDD.COP.AAQOPEEFQO.G.FQ..G..RRR P99 B99  
2 2 0 BB.CO.DD.COP.AAQOPEEFQ.PG.FQ..GRRR.. R98 O99  
2 2 0 BB.C..DD.CO.AA.QOPEEFQOPG.FQ.PG..RRR P99 A99  
2 2 0 BB.C.PDD.COPAA.QOPEEFQO.G.FQ..G..RRR P99 A99  
2 2 0 .BBC..DD.C.P.AAQOPEEFQOPG.FQO.G..RRR O99 B99  
2 2 0 BB.C..DD.C.PAA.QOPEEFQOPG.FQO.G..RRR O99 A99  
2 2 0 BB.C...DDCOPAA.QOPEEFQOPG.FQ..G..RRR D99 A99  
2 2 0 .BBCO.DD.COP.AAQOPEEFQ.PG.FQ..G..RRR O99 B99  
2 2 0 BB.CO.DD.COP.AAQOPEEFQ.PG.FQ..G.RRR. R99 O99  
2 2 0 BB.C..DD.CO..AAQO.EEFQOPG.FQ.PGRRR.P P98 R98  
2 2 0 BB.C..DD.C.P.AAQOPEE.QOPG.FQO.G.FRRR F99 O99  
2 2 0 BB.C..DD.C.P.AAQOPEEFQOPG.FQO.G.RRR. R99 O99  
2 2 0 BB.CO.DD.COP.AAQOPEE.Q.PG.FQ..G.FRRR F99 O99  
2 2 0 BB.C.PDD.COP.AAQOPEE.QO.G.FQ..G.FRRR F99 P99  
2 2 0 BB.C.PDD.C.P.AAQOPEEFQO.G.FQO.G..RRR O99 P99  
2 2 0 .BBC...DDCOP.AAQOPEEFQOPG.FQ..G..RRR D99 B99  
2 2 0 BB.CO.DD.COPAA.QOPEEFQ.PG.FQ..G..RRR A99 O99  
2 2 0 BB.C...DDCOP.AAQOPEE.QOPG.FQ..G.FRRR F99 D99  
2 2 0 BB.C.P.DDCOP.AAQOPEEFQO.G.FQ..G..RRR P99 D99  
2 2 0 BB.CO.DD.CO..AAQOPEEFQ.PG.FQ.PG..RRR P99 O99  
2 2 0 BB.C...DDC.P.AAQOPEEFQOPG.FQO.G..RRR O99 D99  
2 2 0 BB.C..DD.CO..AAQOPEE.QOPG.FQ.PG.FRRR F99 P99  
2 2 0 BB.COPDD.COP.AAQOPEEFQ..G.FQ..G..RRR P99 O99  
2 2 0 BB.C..DD.C...AAQOPEEFQOPG.FQOPG..RRR O99 P99  
2 2 0 BB.C..DD.CO..AAQOPEEFQOPG.FQ.PG.RRR. R99 P99  
2 2 0 BB.C.PDD.COP.AAQOPEEFQO.G.FQ..G.RRR. R99 P99  
2 2 0 BB.C...DDCO..AAQOPEEFQOPG.FQ.PG..RRR D99 P99  
2 2 0 BB.CO..DDCOP.AAQOPEEFQ.PG.FQ..G..RRR D99 O99  
2 2 0 BB.C..DD.CO..AAQOPEEFQOPG.FQ.PGRRR.. P99 R98  
2 2 0 BB.C.PDD.COP.AAQOPEEFQO.G.FQ..GRRR.. P99 R98  
2 2 0 .BBC..DD.COP.AAQOPEEFQOPG.FQ..G.RRR. R99 B99  
2 2 0 BB.C..DD.C.P.AAQ.PEEFQOPG.FQO.GRRRO. O98 R98  
2 2 0 BB.C...DDCOP.AAQOPEEFQOPG.FQ..G.RRR. R99 D99  
2 2 0 BB.C..DD.C.P.AAQOPEEFQOPG.FQO.GRRR.. O99 R98  
2 2 0 .BBC..DD.COP.AAQOPEE.QOPG.FQ..G.FRRR F99 B99  
2 2 0 BB.C...DDCOP.AAQOPEEFQOPG.FQ..GRRR.. D99 R98  
2 2 0 BB.C..DD.COPAA.QOPEEFQOPG.FQ..G.RRR. R99 A99  
3 3 0 .BBC..DD.COPAA.QOPEEFQOPG.FQ..GRRR.. R98 A99 B99  
3 3 0 BB.CO.DD.COPAA.QOPEE.Q.PG.FQ..G.FRRR O99 F99 A99  
3 3 0 BB.C..DD.COPAA.QOP.EEQOPG.FQ..G.FRRR E99 F99 A99  
3 3 0 BBFC..DDFCOP.AAQOPEE.QOPG..Q..G..RRR A98 F97 A99  
3 3 0 .BBC..DD.C.P.AAQOPEEFQOPG.FQO.G.RRR. R99 O99 B99  
3 3 0 BB.COPDD.COP.AAQOPEEFQ..G.FQ..G.RRR. P99 R99 O99  
3 3 0 BB.C.PDD.C.P.AAQOPEE.QO.G.FQO.G.FRRR P99 F99 O99  
3 3 0 BB.COPDD.COP.AAQOPEE.Q..G.FQ..G.FRRR P99 F99 O99  
3 3 0 BB.CO..DDCOP.AAQOPEEFQ.PG.FQ..G.RRR. D99 R99 O99  
3 3 0 BB.C...DDCOPAA.QOPEE.QOPG.FQ..G.FRRR D99 F99 A99  
3 3 0 .BBCO.DD.COP.AAQOPEE.Q.PG.FQ..G.FRRR F99 O99 B99  
3 3 0 .BBCO..DDCOP.AAQOPEEFQ.PG.FQ..G..RRR D99 O99 B99  
3 3 0 .BBC..DD.CO..AAQOPEEFQOPG.FQ.PGRRR.. P99 R98 B99  
3 3 0 .BBC..DD.CO..AAQO.EEFQOPG.FQ.PGRRR.P P98 R98 B99  
3 3 0 BB.CO..DDCOPAA.QOPEEFQ.PG.FQ..G..RRR O99 D99 A99  
3 3 0 BB.C...DDC.PAA.QOPEEFQOPG.FQO.G..RRR D99 O99 A99  
3 3 0 .BBC.PDD.COP.AAQOPEEFQO.G.FQ..GRRR.. P99 R98 B99  
3 3 0 .BBC..DD.C.P.AAQOPEE.QOPG.FQO.G.FRRR F99 O99 B99  
3 3 0 .BBC...DDC.P.AAQOPEEFQOPG.FQO.G..RRR D99 O99 B99  
3 3 0 .BBC..DD.C.P.AAQ.PEEFQOPG.FQO.GRRRO. O98 R98 B99  
3 3 0 BBFC..DDFCOPAA.QOPEE.QOPG..Q..GRRR.. F97 R98 A99  
3 3 0 BB.C..DD.COPGAAQOPGEEQOP..FQ....FRRR G98 E99 F99  
3 3 0 BB.C.PDD.C.PAA.QOPEEFQO.G.FQO.G..RRR O99 P99 A99  
3 3 0 BB.COPDD.COPAA.QOPEEFQ..G.FQ..G..RRR O99 P99 A99  
3 3 0 .BBC..DD.C.P.AAQOPEEFQOPG.FQO.GRRR.. O99 R98 B99  
3 3 0 BB.C.P.DDCOPAA.QOPEEFQO.G.FQ..G..RRR D99 P99 A99  
3 3 0 BB.C..DD.C..AA.QOPEEFQOPG.FQOPG..RRR O99 P99 A99  
3 3 0 .BBCO.DD.COP.AAQOPEEFQ.PG.FQ..GRRR.. O99 R98 B99  
3 3 0 BB.C..DD.CO.AA.QO.EEFQOPG.FQ.PG.RRRP A99 P98 R99  
3 3 0 BB.CO.DD.CO.AA.QOPEEFQ.PG.FQ.PG..RRR O99 P99 A99  
3 3 0 BB.C...DDCO.AA.QOPEEFQOPG.FQ.PG..RRR D99 P99 A99  
3 3 0 .BBC...DDCOP.AAQOPEEFQOPG.FQ..GRRR.. D99 R98 B99  
3 3 0 BB.CO.DD.CO..AAQOPEEFQ.PG.FQ.PGRRR.. P99 R98 O99  
3 3 0 BB.COPDD.COP.AAQOPEEFQ..G.FQ..GRRR.. P99 R98 O99  
3 3 0 .BBC..DD.COPAA.QOPEEFQOPG.FQ..G.RRR. R99 A99 B99  
3 3 0 .BBC..DD.CO..AAQOPEEFQOPG.FQ.PG.RRR. R99 P99 B99  
3 3 0 BB.C..DD.COPAAFQOPEEFQOPG..Q..G.RRR. R99 F99 A99  
3 3 0 BB.CO..DDCOP.AAQOPEEFQ.PG.FQ..GRRR.. D99 R98 O99  
3 3 0 BB.C.PDD.COPAA.QOPEEFQO.G.FQ..G.RRR. R99 P99 A99  
3 3 0 .BBC.PDD.COP.AAQOPEE.QO.G.FQ..G.FRRR F99 P99 B99  
3 3 0 .BBC..DD.COPAA.QOPEE.QOPG.FQ..G.FRRR F99 A99 B99  
3 3 0 .BBC.PDD.C.P.AAQOPEEFQO.G.FQO.G..RRR O99 P99 B99  
3 3 0 .BBCOPDD.COP.AAQOPEEFQ..G.FQ..G..RRR O99 P99 B99  
3 3 0 .BBC..DDFCOPAAFQOPEE.QOPG..Q..G..RRR F98 A99 B99  
3 3 0 BB.C..DDFCOPAAFQOPEE.QOPG..Q..G.RRR. R99 F98 A99  
3 3 0 .BBC.P.DDCOP.AAQOPEEFQO.G.FQ..G..RRR D99 P99 B99  
3 3 0 BB.C..DD.CO.AAFQOPEEFQOPG..Q.PG..RRR P99 F99 A99  
3 3 0 .BBC..DD.COPAAFQOPEEFQOPG..Q..G..RRR F99 A99 B99  
3 3 0 BB.C.PDD.COPAAFQOPEEFQO.G..Q..G..RRR P99 F99 A99  
3 3 0 BB.C..DD.C.PAAFQOPEEFQOPG..QO.G..RRR O99 F99 A99  
3 3 0 .BBC..DD.CO.AA.QOPEEFQOPG.FQ.PG..RRR P99 A99 B99  
3 3 0 BB.CO.DD.COPAAFQOPEEFQ.PG..Q..G..RRR O99 F99 A99  
3 3 0 .BBC.PDD.COP.AAQOPEEFQO.G.FQ..G.RRR. R99 P99 B99  
