0 0 0 .BCCDE.B.FDE.AAF.G..HH.G...I.....I..  
1 1 0 .BCC.E.B.FDE.AAFDG..HH.G...I.....I.. D99  
1 1 0 .BCC.E.B.F.E.AAF.G..HHDG...ID....I.. D97  
1 1 0 .BCCDE.B.FDE.AAF....HH.....I.G...I.G G98  
1 1 0 .BCCDE.B.FDE.AAF.GHH...G...I.....I.. H98  
1 1 0 .BCCDE.B.FDE.AAF....HH.G...I.G...I.. G99  
1 1 0 .BCC.E.B.F.E.AAFDG..HHDG...I.....I.. D98  
1 1 0 .BCCDE.B.FDEAA.F.G..HH.G...I.....I.. A99  
1 1 0 .BCC.E.B.F.E.AAF.G..HH.G...ID....ID. D96  
1 1 0 .BCCDE.B.FDE.AAF.G.HH..G...I.....I.. H99  
1 1 0 .BCCDE.B.FDE.AAF.G...HHG...I.....I.. H99  
2 2 0 .BCC.E.B.FDE.AAFDG.HH..G...I.....I.. H99 D99  
2 2 0 .BCC.E.B.FDE.AAFDGHH...G...I.....I.. H98 D99  
2 2 0 .BCCDE.B.FDE.AAF..HH.......I.G...I.G H98 G98  
2 2 0 .BCCDE.B..DE.AAF.GHH.F.G...I.....I.. F99 H98  
2 2 0 .BCCDE.B.FDE.AAF.G.HHI.G...I........ I99 H99  
2 2 0 .BCCDE.B..DE.AAF.G.HHF.G...I.....I.. F99 H99  
2 2 0 .BCC.E.B.F.E.AAF.GHH...G...ID....ID. D96 H98  
2 2 0 .BCC.E.B.FDE.AAFDG...HHG...I.....I.. H99 D99  
2 2 0 .BCC.E.B.F.E.AAFDGHH..DG...I.....I.. D98 H98  
2 2 0 .BCCDE.B.FDE.AAF...HH......I.G...I.G H99 G98  
2 2 0 .BCC.E.B.FDE.AAFD...HH.....I.G...I.G G98 D99  
2 2 0 .BCC.E.B.F.E.AAF.GHH..DG...ID....I.. H98 D97  
2 2 0 .BCCDE.B.FDE.AAF......HH...I.G...I.G H98 G98  
2 2 0 .BCCDE.B.FDE.AAF.....HH....I.G...I.G H99 G98  
2 2 0 .BCC.E.B.FDE.AAFD...HH.G...I.G...I.. G99 D99  
2 2 0 .BCCDE.B.FDEAA.F....HH.....I.G...I.G A99 G98  
2 2 0 .BCCD..B.FD..AAF.E..HH.E...I.G...I.G E98 G98  
2 2 0 .BCC.E.B.FDEAA.FDG..HH.G...I.....I.. A99 D99  
2 2 0 .BCCD..B.FDE.AAF.E..HH.....I.G...I.G E99 G98  
2 2 0 .BCCDE.B.FDE.AAF.GHH.I.G...I........ I99 H98  
2 2 0 .BCC.E.B.F.E.AAF.G.HH..G...ID....ID. H99 D96  
2 2 0 .BCC.E.B.F.E.AAF....HH.....IDG...IDG D96 G98  
2 2 0 .BCC.E.B.F.E.AAF.G...HHG...ID....ID. H99 D96  
2 2 0 .B.CCE.B.FDE.AAFDG..HH.G...I.....I.. C99 D99  
2 2 0 .BCC.E.B.F.E.AAFD...HHD....I.G...I.G D98 G98  
2 2 0 .B.CCE.B.F.E.AAF.G..HH.G...ID....ID. C99 D96  
2 2 0 .BCCDE.B.FDEAA.F.G...HHG...I.....I.. H99 A99  
2 2 0 .BCC.E.B.F.E.AAF.G.HH.DG...ID....I.. H99 D97  
2 2 0 .BCC.E.B.F.EAA.F.G..HH.G...ID....ID. D96 A99  
2 2 0 .BCC.E.B.F.EAA.FDG..HHDG...I.....I.. A99 D98  
2 2 0 .BCC.E.B.F.E.AAF....HHD....IDG...I.G G98 D97  
2 2 0 .BCCDE.B.FDE.AAF.....HHG...I.G...I.. H99 G99  
2 2 0 .B.CCE.B.F.E.AAFDG..HHDG...I.....I.. C99 D98  
2 2 0 .BCCDE.B.FDEAA.F.G.HH..G...I.....I.. H99 A99  
2 2 0 .BCCDE.B.FDE.AAF...HH..G...I.G...I.. H99 G99  
2 2 0 .BCC.E.B.F.E.AAF....HHDG...IDG...I.. G99 D97  
2 2 0 .BCCDE.B.FDEAA.F....HH.G...I.G...I.. A99 G99  
2 2 0 .BCCD..B.FDE.AAF.E..HH.G...I.G...I.. E99 G99  
2 2 0 .BCC.E.B.F.EAA.F.G..HHDG...ID....I.. A99 D97  
2 2 0 .BCC.E.B.F.E.AAF....HH.G...IDG...ID. D96 G99  
2 2 0 .BCC.E.B.F.E.AAFDG.HH.DG...I.....I.. H99 D98  
2 2 0 .BCC.E.B.F.E.AAFD...HHDG...I.G...I.. D98 G99  
2 2 0 .B.CCE.B.F.E.AAF.G..HHDG...ID....I.. C99 D97  
2 2 0 .BCCDE.B.FDE.AAF..HH...G...I.G...I.. G99 H98  
2 2 0 .BCCDE.B.FDEAA.F.GHH...G...I.....I.. A99 H98  
3 3 0 .BCC.E.B.FDE.AAFDG.HHI.G...I........ I99 H99 D99  
3 3 0 .BCCDE.B.FDE.AAF..HH.I.....I.G.....G I99 H98 G98  
3 3 0 .BCC.E.B...E.AAF.GHH.FDG...ID....I.. D97 F99 H98  
3 3 0 .BCC.E.B.F.E.AAF.GHH.I.G...ID.....D. I99 D96 H98  
3 3 0 .BCC.E.B.FDEAA.FD...HH.G...I.G...I.. A99 G99 D99  
3 3 0 .B.CCE.B.F.E.AAF....HHDG...IDG...I.. C99 G99 D97  
3 3 0 .BCC.E.B.F.E.AAFD..HH.DG...I.G...I.. D98 H99 G99  
3 3 0 .BCC.E.B...E.AAFDGHH.FDG...I.....I.. D98 F99 H98  
3 3 0 .BCC.E.B.FDE.AAFDGHH.I.G...I........ I99 H98 D99  
3 3 0 .BCCDE.B.FDEAA.F..HH.......I.G...I.G A99 H98 G98  
3 3 0 .B.CCE.B.F.E.AAFD...HHDG...I.G...I.. G99 C99 D98  
3 3 0 .BCC.E.B.F.EAA.FD...HHDG...I.G...I.. G99 A99 D98  
3 3 0 .BCCDE.B..DE.AAF..HH.F.....I.G...I.G F99 H98 G98  
3 3 0 .B.CCE.B.F.EAA.FDG..HHDG...I.....I.. C99 A99 D98  
3 3 0 .BCC.E.B.F.EAA.F.G.HH.DG...ID....I.. A99 H99 D97  
3 3 0 .BCCD..B.FD..AAF.EHH...E...I.G...I.G E98 H98 G98  
3 3 0 .BCCDE.B..DE.AAF..HH.F.G...I.G...I.. G99 F99 H98  
3 3 0 .BCCDE.B..DE.AAF...HHF.....I.G...I.G G98 F99 H99  
3 3 0 .B.CCE.B.F.E.AAF.G.HH.DG...ID....I.. C99 H99 D97  
3 3 0 .B.CCE.B.F.EAA.F.G..HH.G...ID....ID. A99 C99 D96  
3 3 0 .BCCD..B.FDE.AAF.EHH.......I.G...I.G E99 H98 G98  
3 3 0 .B.CCE.B.F.E.AAF.G...HHG...ID....ID. C99 H99 D96  
3 3 0 .BCC.E.B.F.E.AAF.....HH....IDG...IDG H99 D96 G98  
3 3 0 .BCC.E.B.F.E.AAF..HH.......IDG...IDG D96 H98 G98  
3 3 0 .BCCDE.B.FDE.AAF...HHI.....I.G.....G G98 I99 H99  
3 3 0 .B.CCE.B.F.E.AAF....HH.....IDG...IDG C99 D96 G98  
3 3 0 .BCC.E.B.F.EAA.F.G.HH..G...ID....ID. A99 H99 D96  
3 3 0 .BCC.E.B.F.E.AAF..HH..D....IDG...I.G D97 H98 G98  
3 3 0 .B.CCE.B.F.E.AAF.G.HH..G...ID....ID. C99 H99 D96  
3 3 0 .BCCDE.B.FDEAA.F.GHH.I.G...I........ A99 I99 H98  
3 3 0 .BCC.E.B.F.E.AAFD.HH..D....I.G...I.G D98 H98 G98  
3 3 0 .BCC.E.B.FDE.AAFD....HH....I.G...I.G G98 H99 D99  
3 3 0 .BCCDE.B.FDEAA.F...HH......I.G...I.G A99 H99 G98  
3 3 0 .BCCDE.B.FDEAA.F.....HH....I.G...I.G A99 H99 G98  
3 3 0 .BCC...B.F.E.AAF.E..HHD....IDG...I.G D97 E99 G98  
3 3 0 .BCC...B.F.E.AAFDE..HHD....I.G...I.G D98 E99 G98  
3 3 0 .BCC.E.B.FDE.AAFD.HH.......I.G...I.G G98 H98 D99  
3 3 0 .BCC...B.F...AAF.E..HHDE...IDG...I.G D97 E98 G98  
3 3 0 .BCC...B.F...AAFDE..HHDE...I.G...I.G D98 E98 G98  
3 3 0 .BCC.E.B.FDE.AAFD.HH...G...I.G...I.. G99 H98 D99  
3 3 0 .BCC.E.B.F.E.AAFDGHH.IDG...I........ I99 D98 H98  
3 3 0 .BCCD..B.FDEAA.F.E..HH.....I.G...I.G E99 A99 G98  
3 3 0 .BCC.E.B.F.EAA.F....HH.....IDG...IDG D96 A99 G98  
3 3 0 .BCC.E.B.FDEAA.FDGHH...G...I.....I.. A99 H98 D99  
3 3 0 .BCC.E.B.F.EAA.F....HHD....IDG...I.G D97 A99 G98  
3 3 0 .BCC.E.B.F.EAA.FD...HHD....I.G...I.G D98 A99 G98  
3 3 0 .BCC.E.B..DE.AAFDGHH.F.G...I.....I.. F99 H98 D99  
3 3 0 .BCC.E.B.FDE.AAFD.....HH...I.G...I.G H98 G98 D99  
3 3 0 .BCCDE.B.FDE.AAF.....IHH...I.G.....G I99 H98 G98  
3 3 0 .BCC...B.FDE.AAFDE..HH.G...I.G...I.. E99 G99 D99  
3 3 0 .B.CCE.B.FDE.AAFD...HH.G...I.G...I.. C99 G99 D99  
